所在市町村	市町村	市町村よみ	学校名	|名称=	よみ	|よみ=	|所在地=	郵便番号	所在地	|電話番号=				
青森市	青森市	あおもりし	筒井	青森市立筒井小学校	つつい	あおもりしりつつついしょうがっこう	〒030-0944 青森県青森市筒井一丁目1の1	030-0944	筒井一丁目1の1	017-741-6561	[[Category:青森県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]
青森市	青森市	あおもりし	横内	青森市立横内小学校	よこうち	あおもりしりつよこうちしょうがっこう	〒030-0122 青森県青森市野尻野田60	030-0122	野尻野田60	017-738-2241	[[Category:青森県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]
青森市	青森市	あおもりし	新城	青森市立新城小学校	しんじょう	あおもりしりつしんじょうしょうがっこう	〒038-0042 青森県青森市新城平岡266の14	038-0042	新城平岡266の14	017-788-0713	[[Category:青森県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]
青森市	青森市	あおもりし	奥内	青森市立奥内小学校	おくない	あおもりしりつおくないしょうがっこう	〒038-0052 青森県青森市清水浜元181	038-0052	清水浜元181	017-754-2009	[[Category:青森県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]
青森市	青森市	あおもりし	西田沢	青森市立西田沢小学校	にしたざわ	あおもりしりつにしたざわしょうがっこう	〒038-0056 青森県青森市飛鳥塩越80	038-0056	飛鳥塩越80	017-788-0431	[[Category:青森県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]
青森市	青森市	あおもりし	後潟	青森市立後潟小学校	うしろがた	あおもりしりつうしろがたしょうがっこう	〒030-1271 青森県青森市六枚橋磯打95	030-1271	六枚橋磯打95	017-754-3506	[[Category:青森県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]
青森市	青森市	あおもりし	野内	青森市立野内小学校	のない	あおもりしりつのないしょうがっこう	〒039-3503 青森県青森市野内菊川155	039-3503	野内菊川155	017-726-3240	[[Category:青森県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]
青森市	青森市	あおもりし	久栗坂	青森市立久栗坂小学校	くぐりざか	あおもりしりつくぐりざかしょうがっこう	〒039-3502 青森県青森市久栗坂山辺170	039-3502	久栗坂山辺170	017-752-2171	[[Category:青森県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]
青森市	青森市	あおもりし	浅虫	青森市立浅虫小学校	あさむし	あおもりしりつあさむししょうがっこう	〒039-3501 青森県青森市浅虫山下132	039-3501	浅虫山下132	017-752-2048	[[Category:青森県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]
青森市	青森市	あおもりし	金沢	青森市立金沢小学校	かなざわ	あおもりしりつかなざわしょうがっこう	〒030-0853 青森県青森市金沢四丁目5の1	030-0853	金沢四丁目5の1	017-776-4695	[[Category:青森県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]
青森市	青森市	あおもりし	三内	青森市立三内小学校	さんない	あおもりしりつさんないしょうがっこう	〒038-0032 青森県青森市里見一丁目9の1	038-0032	里見一丁目9の1	017-781-0308	[[Category:青森県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]
青森市	青森市	あおもりし	浜田	青森市立浜田小学校	はまだ	あおもりしりつはまだしょうがっこう	〒030-0843 青森県青森市浜田豊田36の2	030-0843	浜田豊田36の2	017-734-5387	[[Category:青森県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]
青森市	青森市	あおもりし	小柳	青森市立小柳小学校	こやなぎ	あおもりしりつこやなぎしょうがっこう	〒030-0915 青森県青森市小柳四丁目6の1	030-0915	小柳四丁目6の1	017-741-1285	[[Category:青森県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]
青森市	青森市	あおもりし	泉川	青森市立泉川小学校	いずみかわ	あおもりしりついずみかわしょうがっこう	〒038-0022 青森県青森市浪館泉川1の1	038-0022	浪館泉川1の1	017-739-2111	[[Category:青森県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]
青森市	青森市	あおもりし	浪館	青森市立浪館小学校	なみだて	あおもりしりつなみだてしょうがっこう	〒038-0024 青森県青森市浪館前田三丁目23の1	038-0024	浪館前田三丁目23の1	017-766-7470	[[Category:青森県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]
青森市	青森市	あおもりし	幸畑	青森市立幸畑小学校	こうはた	あおもりしりつこうはたしょうがっこう	〒030-0943 青森県青森市幸畑松元50の2	030-0943	幸畑松元50の2	017-738-0939	[[Category:青森県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]
青森市	青森市	あおもりし	大野	青森市立大野小学校	おおの	あおもりしりつおおのしょうがっこう	〒030-0847 青森県青森市東大野一丁目3の1	030-0847	東大野一丁目3の1	017-739-8338	[[Category:青森県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]
青森市	青森市	あおもりし	戸山西	青森市立戸山西小学校	とやまにし	あおもりしりつとやまにししょうがっこう	〒030-0953 青森県青森市駒込螢沢17の11	030-0953	駒込螢沢17の11	017-743-7722	[[Category:青森県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]
青森市	青森市	あおもりし	筒井南	青森市立筒井南小学校	つついみなみ	あおもりしりつつついみなみしょうがっこう	〒030-0944 青森県青森市筒井八ツ橋46の1	030-0944	筒井八ツ橋46の1	017-738-9292	[[Category:青森県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]
青森市	青森市	あおもりし	三内西	青森市立三内西小学校	さんないにし	あおもりしりつさんないにししょうがっこう	〒038-0031 青森県青森市三内丸山86の1	038-0031	三内丸山86の1	017-781-1101	[[Category:青森県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]
青森市	青森市	あおもりし	新城中央	青森市立新城中央小学校	しんじょうちゅうおう	あおもりしりつしんじょうちゅうおうしょうがっこう	〒038-0042 青森県青森市新城平岡141の1	038-0042	新城平岡141の1	017-788-5010	[[Category:青森県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]
青森市	青森市	あおもりし	東陽	青森市立東陽小学校	とうよう	あおもりしりつとうようしょうがっこう	〒039-3505 青森県青森市宮田玉水181の1	039-3505	宮田玉水181の1	017-726-2227	[[Category:青森県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]
青森市	青森市	あおもりし	女鹿沢	青森市立女鹿沢小学校	めがさわ	あおもりしりつめがさわしょうがっこう	〒038-1332 青森県青森市浪岡下十川扇田19の2	038-1332	浪岡下十川扇田19の2	0172-62-3103	[[Category:青森県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]
青森市	青森市	あおもりし	浪岡野沢	青森市立浪岡野沢小学校	なみおかのざわ	あおもりしりつなみおかのざわしょうがっこう	〒038-1344 青森県青森市浪岡吉野田平野51の2	038-1344	浪岡吉野田平野51の2	0172-62-4142	[[Category:青森県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]
青森市	青森市	あおもりし	大栄	青森市立大栄小学校	だいえい	あおもりしりつだいえいしょうがっこう	〒038-1301 青森県青森市浪岡大釈迦前田5の2	038-1301	浪岡大釈迦前田5の2	0172-62-4133	[[Category:青森県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]
青森市	青森市	あおもりし	本郷	青森市立本郷小学校	ほんごう	あおもりしりつほんごうしょうがっこう	〒038-1323 青森県青森市浪岡本郷一本柳4	038-1323	浪岡本郷一本柳4	0172-62-3052	[[Category:青森県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]
青森市	青森市	あおもりし	浪岡北	青森市立浪岡北小学校	なみおかきた	あおもりしりつなみおかきたしょうがっこう	〒038-1311 青森県青森市浪岡浪岡淋城29	038-1311	浪岡浪岡淋城29	0172-62-7311	[[Category:青森県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]
青森市	青森市	あおもりし	浪岡南	青森市立浪岡南小学校	なみおかみなみ	あおもりしりつなみおかみなみしょうがっこう	〒038-1325 青森県青森市浪岡北中野北畠3	038-1325	浪岡北中野北畠3	0172-62-9175	[[Category:青森県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]
弘前市	弘前市	ひろさきし	自得	弘前市立自得小学校	じとく	ひろさきしりつじとくしょうがっこう	〒036-1205 青森県弘前市鬼沢菖蒲沢109の4	036-1205	鬼沢菖蒲沢109の4	0172-98-2221	[[Category:青森県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]
弘前市	弘前市	ひろさきし	小友	弘前市立小友小学校	おとも	ひろさきしりつおともしょうがっこう	〒038-3613 青森県弘前市小友宇田野1140	038-3613	小友宇田野1140	0172-93-2118	[[Category:青森県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]
弘前市	弘前市	ひろさきし	三和	弘前市立三和小学校	みわ	ひろさきしりつみわしょうがっこう	〒038-3611 青森県弘前市三和川合251の2	038-3611	三和川合251の2	0172-93-2117	[[Category:青森県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]
弘前市	弘前市	ひろさきし	新和	弘前市立新和小学校	にいな	ひろさきしりつにいなしょうがっこう	〒038-3615 青森県弘前市青女子桜苅292の4	038-3615	青女子桜苅292の4	0172-73-2673	[[Category:青森県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]
弘前市	弘前市	ひろさきし	高杉	弘前市立高杉小学校	たかすぎ	ひろさきしりつたかすぎしょうがっこう	〒036-8302 青森県弘前市高杉神原7の1	036-8302	高杉神原7の1	0172-95-2014	[[Category:青森県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]
弘前市	弘前市	ひろさきし	船沢	弘前市立船沢小学校	ふなざわ	ひろさきしりつふなざわしょうがっこう	〒036-8375 青森県弘前市細越早稲田42	036-8375	細越早稲田42	0172-96-2120	[[Category:青森県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]
弘前市	弘前市	ひろさきし	三省	弘前市立三省小学校	さんせい	ひろさきしりつさんせいしょうがっこう	〒036-8313 青森県弘前市中崎野脇142の2	036-8313	中崎野脇142の2	0172-95-2219	[[Category:青森県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]
弘前市	弘前市	ひろさきし	致遠	弘前市立致遠小学校	ちえん	ひろさきしりつちえんしょうがっこう	〒036-8325 青森県弘前市浜の町北一丁目7の1	036-8325	浜の町北一丁目7の1	0172-34-3251	[[Category:青森県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]
弘前市	弘前市	ひろさきし	城東	弘前市立城東小学校	じょうとう	ひろさきしりつじょうとうしょうがっこう	〒036-8071 青森県弘前市大久保西田105の40	036-8071	大久保西田105の40	0172-32-4054	[[Category:青森県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]
弘前市	弘前市	ひろさきし	福村	弘前市立福村小学校	ふくむら	ひろさきしりつふくむらしょうがっこう	〒036-8082 青森県弘前市福村一丁目1の1	036-8082	福村一丁目1の1	0172-27-6679	[[Category:青森県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]
弘前市	弘前市	ひろさきし	豊田	弘前市立豊田小学校	とよだ	ひろさきしりつとよだしょうがっこう	〒036-8101 青森県弘前市豊田一丁目4の1	036-8101	豊田一丁目4の1	0172-27-7820	[[Category:青森県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]
弘前市	弘前市	ひろさきし	堀越	弘前市立堀越小学校	ほりこし	ひろさきしりつほりこししょうがっこう	〒036-8111 青森県弘前市門外一丁目3の3	036-8111	門外一丁目3の3	0172-27-4869	[[Category:青森県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]
弘前市	弘前市	ひろさきし	文京	弘前市立文京小学校	ぶんきょう	ひろさきしりつぶんきょうしょうがっこう	〒036-8155 青森県弘前市中野一丁目1の1	036-8155	中野一丁目1の1	0172-32-5866	[[Category:青森県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]
弘前市	弘前市	ひろさきし	千年	弘前市立千年小学校	ちとせ	ひろさきしりつちとせしょうがっこう	〒036-8127 青森県弘前市小栗山川合119の7	036-8127	小栗山川合119の7	0172-87-2012	[[Category:青森県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]
弘前市	弘前市	ひろさきし	大和沢	弘前市立大和沢小学校	おおわさわ	ひろさきしりつおおわさわしょうがっこう	〒036-8132 青森県弘前市狼森天王12の1	036-8132	狼森天王12の1	0172-87-2234	[[Category:青森県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]
弘前市	弘前市	ひろさきし	小沢	弘前市立小沢小学校	こざわ	ひろさきしりつこざわしょうがっこう	〒036-8247 青森県弘前市大開二丁目5の1	036-8247	大開二丁目5の1	0172-88-3016	[[Category:青森県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]
弘前市	弘前市	ひろさきし	青柳	弘前市立青柳小学校	あおやぎ	ひろさきしりつあおやぎしょうがっこう	〒036-8264 青森県弘前市悪戸村元7の2	036-8264	悪戸村元7の2	0172-32-4600	[[Category:青森県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]
弘前市	弘前市	ひろさきし	東目屋	弘前市立東目屋小学校	ひがしめや	ひろさきしりつひがしめやしょうがっこう	〒036-1441 青森県弘前市桜庭清水流39	036-1441	桜庭清水流39	0172-86-2011	[[Category:青森県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]
弘前市	弘前市	ひろさきし	和徳	弘前市立和徳小学校	わっとく	ひろさきしりつわっとくしょうがっこう	〒036-8001 青森県弘前市代官町107の3	036-8001	代官町107の3	0172-32-0725	[[Category:青森県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]
弘前市	弘前市	ひろさきし	時敏	弘前市立時敏小学校	じびん	ひろさきしりつじびんしょうがっこう	〒036-8063 青森県弘前市宮園一丁目5の1	036-8063	宮園一丁目5の1	0172-34-3255	[[Category:青森県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]
弘前市	弘前市	ひろさきし	城西	弘前市立城西小学校	じょうせい	ひろさきしりつじょうせいしょうがっこう	〒036-8364 青森県弘前市新町236の1	036-8364	新町236の1	0172-32-0247	[[Category:青森県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]
弘前市	弘前市	ひろさきし	第三大成	弘前市立第三大成小学校	だいさんたいせい	ひろさきしりつだいさんたいせいしょうがっこう	〒036-8173 青森県弘前市富田町47	036-8173	富田町47	0172-32-2846	[[Category:青森県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]
弘前市	弘前市	ひろさきし	朝陽	弘前市立朝陽小学校	ちょうよう	ひろさきしりつちょうようしょうがっこう	〒036-8216 青森県弘前市在府町36	036-8216	在府町36	0172-32-3647	[[Category:青森県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]
弘前市	弘前市	ひろさきし	桔梗野	弘前市立桔梗野小学校	ききょうの	ひろさきしりつききょうのしょうがっこう	〒036-8227 青森県弘前市桔梗野二丁目21	036-8227	桔梗野二丁目21	0172-32-4078	[[Category:青森県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]
弘前市	弘前市	ひろさきし	石川	弘前市立石川小学校	いしかわ	ひろさきしりついしかわしょうがっこう	〒036-8124 青森県弘前市石川庄司川添19の1	036-8124	石川庄司川添19の1	0172-92-2110	[[Category:青森県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]
弘前市	弘前市	ひろさきし	西	弘前市立西小学校	にし	ひろさきしりつにししょうがっこう	〒036-8279 青森県弘前市茜町三丁目2の1 	036-8279	茜町三丁目2の1 	0172-34-1335	[[Category:青森県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]
弘前市	弘前市	ひろさきし	修斉	弘前市立修斉小学校	しゅうせい	ひろさきしりつしゅうせいしょうがっこう	〒036-1202 青森県弘前市十面沢赤坂1の1	036-1202	十面沢赤坂1の1	0172-93-3119	[[Category:青森県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]
弘前市	弘前市	ひろさきし	草薙	弘前市立草薙小学校	くさなぎ	ひろさきしりつくさなぎしょうがっこう	〒036-1203 青森県弘前市大森田浦12の1	036-1203	大森田浦12の1	0172-93-2218	[[Category:青森県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]
弘前市	弘前市	ひろさきし	弥生	弘前市立弥生小学校	やよい	ひろさきしりつやよいしょうがっこう	〒036-1361 青森県弘前市弥生弥生平580	036-1361	弥生弥生平580	0172-96-2233	[[Category:青森県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]
弘前市	弘前市	ひろさきし	松原	弘前市立松原小学校	まつばら	ひろさきしりつまつばらしょうがっこう	〒036-8141 青森県弘前市松原東二丁目17	036-8141	松原東二丁目17	0172-87-5900	[[Category:青森県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]
弘前市	弘前市	ひろさきし	東	弘前市立東小学校	ひがし	ひろさきしりつひがししょうがっこう	〒036-8093 青森県弘前市城東中央五丁目6の1	036-8093	城東中央五丁目6の1	0172-27-1588	[[Category:青森県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]
弘前市	弘前市	ひろさきし	北	弘前市立北小学校	きた	ひろさきしりつきたしょうがっこう	〒036-8062 青森県弘前市青山三丁目15の1	036-8062	青山三丁目15の1	0172-33-6780	[[Category:青森県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]
弘前市	弘前市	ひろさきし	大成	弘前市立大成小学校	たいせい	ひろさきしりつたいせいしょうがっこう	〒036-8185 青森県弘前市御幸町13の1	036-8185	御幸町13の1	0172-32-2591	[[Category:青森県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]
弘前市	弘前市	ひろさきし	百沢	弘前市立百沢小学校	ひゃくざわ	ひろさきしりつひゃくざわしょうがっこう	〒036-1343 青森県弘前市百沢寺沢95	036-1343	百沢寺沢95	0172-83-2110	[[Category:青森県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]
弘前市	弘前市	ひろさきし	岩木	弘前市立岩木小学校	いわき	ひろさきしりついわきしょうがっこう	〒036-1331 青森県弘前市五代前田451	036-1331	五代前田451	0172-82-3008	[[Category:青森県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]
弘前市	弘前市	ひろさきし	常盤野	弘前市立常盤野小学校	ときわの	ひろさきしりつときわのしょうがっこう	〒036-1345 青森県弘前市常盤野湯の沢45の4	036-1345	常盤野湯の沢45の4	0172-83-2047	[[Category:青森県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]
弘前市	弘前市	ひろさきし	相馬	弘前市立相馬小学校	そうま	ひろさきしりつそうましょうがっこう	〒036-1502 青森県弘前市黒滝二ノ松本2の4	036-1502	黒滝二ノ松本2の4	0172-84-3107	[[Category:青森県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]
弘前市			弘前大学教育学部附属	弘前大学教育学部附属小学校	ひろさきだいがくきょういくがくぶふぞく	ひろさきだいがくきょういくがくぶふぞくしょうがっこう	〒036-8152 青森県弘前市弘前市学園町1の1	036-8152	弘前市学園町1の1	0172-32-7202	[[Category:青森県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]
八戸市	八戸市	はちのへし	八戸	八戸市立八戸小学校	はちのへ	はちのへしりつはちのへしょうがっこう	〒031-0073 青森県八戸市売市小待150	031-0073	売市小待150	0178-43-2820	[[Category:青森県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]
八戸市	八戸市	はちのへし	吹上	八戸市立吹上小学校	ふきあげ	はちのへしりつふきあげしょうがっこう	〒031-0003 青森県八戸市吹上一丁目14の36	031-0003	吹上一丁目14の36	0178-44-0527	[[Category:青森県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]
八戸市	八戸市	はちのへし	長者	八戸市立長者小学校	ちょうじゃ	はちのへしりつちょうじゃしょうがっこう	〒031-0021 青森県八戸市長者三丁目2の1	031-0021	長者三丁目2の1	0178-22-0564	[[Category:青森県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]
八戸市	八戸市	はちのへし	中居林	八戸市立中居林小学校	なかいばやし	はちのへしりつなかいばやししょうがっこう	〒031-0013 青森県八戸市石手洗一本木29	031-0013	石手洗一本木29	0178-96-1030	[[Category:青森県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]
八戸市	八戸市	はちのへし	柏崎	八戸市立柏崎小学校	かしわざき	はちのへしりつかしわざきしょうがっこう	〒031-0804 青森県八戸市青葉二丁目7の1	031-0804	青葉二丁目7の1	0178-43-2263	[[Category:青森県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]
八戸市	八戸市	はちのへし	小中野	八戸市立小中野小学校	こなかの	はちのへしりつこなかのしょうがっこう	〒031-0802 青森県八戸市小中野五丁目2の17	031-0802	小中野五丁目2の17	0178-44-1513	[[Category:青森県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]
