|名称=	|よみ=	|電話番号=	|FAX=	|所在地=	|メールアドレス=	|備考=				
埼玉県立川越総合高等学校	さいたまけんりつかわごえそうごうこうとうがっこう	049-222-4148	049-229-1050	〒350-0036 埼玉県川越市小仙波町5-14	r224148(at)pref.saitama.lg.jp	総合学科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立川越西高等学校	さいたまけんりつかわごえにしこうとうがっこう	049-231-2424	049-239-1016	〒350-1175 埼玉県川越市笠幡2488-1	r312424(at)pref.saitama.lg.jp	普通科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立川越初雁高等学校	さいたまけんりつかわごえはつかりこうとうがっこう	049-244-2171	049-240-1052	〒350-1137 埼玉県川越市砂新田2564	r442171(at)pref.saitama.lg.jp	普通科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立川越南高等学校	さいたまけんりつかわごえみなみこうとうがっこう	049-244-5223	049-240-1051	〒350-1162 埼玉県川越市南大塚1-21-1	r445223(at)pref.saitama.lg.jp	普通科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立北本高等学校	さいたまけんりつきたもとこうとうがっこう	048-592-2200	048-590-1009	〒364-0003 埼玉県北本市古市場1-152	k922200(at)pref.saitama.lg.jp	普通科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立久喜高等学校	さいたまけんりつくきこうとうがっこう	0480-21-0038	0480-29-1024	〒346-0005 埼玉県久喜市本町3-12-1	g210038(at)pref.saitama.lg.jp	普通科／定時制あり	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立久喜工業高等学校	さいたまけんりつくきこうぎょうこうとうがっこう	0480-21-0761	0480-29-1023	〒346-0002 埼玉県久喜市野久喜474	g210761(at)pref.saitama.lg.jp	電気科，工業化学科，機械科，環境科学科，情報技術科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立久喜北陽高等学校	さいたまけんりつくきほくようこうとうがっこう	0480-21-3334	0480-29-1025	〒346-0031 埼玉県久喜市久喜本837-1	g213334(at)pref.saitama.lg.jp	総合学科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立熊谷高等学校	さいたまけんりつくまがやこうとうがっこう	048-521-0050	048-520-1057	〒360-0812 埼玉県熊谷市大原1-9-1	k210050(at)pref.saitama.lg.jp	普通科／定時制あり	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立熊谷工業高等学校	さいたまけんりつくまがやこうぎょうこうとうがっこう	048-523-3354	048-520-1061	〒360-0832 埼玉県熊谷市小島820	k233354(at)pref.saitama.lg.jp	電気科，建築科，土木科，機械科，情報技術科，その他	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立熊谷商業高等学校	さいたまけんりつくまがやしょうぎょうこうとうがっこう	048-523-4545	048-520-1063	〒360-0833 埼玉県熊谷市広瀬800	k234545(at)pref.saitama.lg.jp	商業，情報処理科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立熊谷女子高等学校	さいたまけんりつくまがやじょしこうとうがっこう	048-521-0015	048-520-1052	〒360-0031 埼玉県熊谷市末広2-131	k210015(at)pref.saitama.lg.jp	普通科／定時制あり	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立熊谷西高等学校	さいたまけんりつくまがやにしこうとうがっこう	048-532-8881	048-530-1081	〒360-0843 埼玉県熊谷市三ヶ尻2066	k328881(at)pref.saitama.lg.jp	普通科，理数科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立熊谷農業高等学校	さいたまけんりつくまがやのうぎょうこうとうがっこう	048-521-0051	048-520-1060	〒360-0812 埼玉県熊谷市大原3-3-1	k210051(at)pref.saitama.lg.jp	食品科学科，生物生産工学科，生活技術科，生物生産技術科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立栗橋北彩高等学校	さいたまけんりつくりはしほくさいこうとうがっこう	0480-52-5120	0480-55-1008	〒349-1121 埼玉県久喜市伊坂1	g525120(at)pref.saitama.lg.jp	普通科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立芸術総合高等学校	さいたまけんりつげいじゅつそうごうこうとうがっこう	04-2949-4052	04-2938-1002	〒359-1164 埼玉県所沢市三ヶ島2-695-1	f494052(at)pref.saitama.lg.jp	美術科，音楽科，映像芸術科，舞台芸術科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立鴻巣高等学校	さいたまけんりつこうのすこうとうがっこう	048-541-0234	048-595-1013	〒365-0054 埼玉県鴻巣市大間1020	k410234(at)pref.saitama.lg.jp	普通科，商業科／定時制あり	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立鴻巣女子高等学校	さいたまけんりつこうのすじょしこうとうがっこう	048-541-0669	048-595-1012	〒365-0036 埼玉県鴻巣市天神1-1-72	k410669(at)pref.saitama.lg.jp	普通科，保育科，家政科学科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立越ヶ谷高等学校	さいたまけんりつこしがやこうとうがっこう	048-965-3421	048-960-1184	〒343-0024 埼玉県越谷市越ヶ谷2788-1	q653421(at)pref.saitama.lg.jp	普通科／定時制あり	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立越谷北高等学校	さいたまけんりつこしがやきたこうとうがっこう	048-974-0793	048-973-1181	〒343-0044 埼玉県越谷市大泊500-1	q740793(at)pref.saitama.lg.jp	普通科，理数科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立越谷総合技術高等学校	さいたまけんりつこしがやそうごうぎじゅつこうとうがっこう	048-966-4155	048-960-1185	〒343-0856 埼玉県越谷市谷中町3-100-1	q664155(at)pref.saitama.lg.jp	電子機械科，情報技術科，流通経済科，情報技術科，服飾デザイン科，食物調理科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立越谷西高等学校	さいたまけんりつこしがやにしこうとうがっこう	048-977-4155	048-973-1183	〒343-0801 埼玉県越谷市野島460-1	q774155(at)pref.saitama.lg.jp	普通科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立越谷東高等学校	さいたまけんりつこしがやひがしこうとうがっこう	048-966-8566	048-960-1186	〒343-0011 埼玉県越谷市増林荒川堤外5670-1	q668566(at)pref.saitama.lg.jp	普通科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立越谷南高等学校	さいたまけんりつこしがやみなみこうとうがっこう	048-988-5161	048-961-1180	〒343-0827 埼玉県越谷市川柳町6-220	q885161(at)pref.saitama.lg.jp	普通科，外国語科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立児玉高等学校	さいたまけんりつこだまこうとうがっこう	0495-72-1591	0495-73-1009	〒367-0217 埼玉県本庄市児玉町八幡山410	u721591(at)pref.saitama.lg.jp	普通科／定時制あり	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立児玉白楊高等学校	さいたまけんりつこがまはくようこうとうがっこう	0495-72-1566	0495-73-1011	〒367-0216 埼玉県本庄市児玉町金屋980	u721566(at)pref.saitama.lg.jp	生物資源科，環境デザイン科，機械科，電子機械科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立坂戸高等学校	さいたまけんりつさかどこうとうがっこう	049-281-3535	049-288-1107	〒350-0271 埼玉県坂戸市上吉田586	r813535(at)pref.saitama.lg.jp	普通科，外国語科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立坂戸西高等学校	さいたまけんりつさかどにしこうとうがっこう	049-286-9473	049-279-1009	〒350-0245 埼玉県坂戸市四日市場101	r869473(at)pref.saitama.lg.jp	普通科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立幸手高等学校	さいたまけんりつさってこうとうがっこう	0480-48-0951	0480-47-1001	〒340-0145 埼玉県幸手市平須賀2-555	g480951(at)pref.saitama.lg.jp	普通科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立幸手商業高等学校	さいたまけんりつさってしょうぎょうこうとうがっこう	0480-42-1303	0480-40-1024	〒340-0111 埼玉県幸手市北1-17-59	g421303(at)pref.saitama.lg.jp	商業科／定時制あり	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立狭山経済高等学校	さいたまけんりつさやまけいざいこうとうがっこう	04-2952-6510	04-2969-1030	〒350-1324 埼玉県狭山市稲荷山2-6-1	f526510(at)pref.saitama.lg.jp	流通経済科，会計科，情報処理科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立狭山工業高等学校	さいたまけんりつさやまこうぎょうこうとうがっこう	04-2957-3141	04-2950-1010	〒350-1306 埼玉県狭山市富士見2-5-1	f573141(at)pref.saitama.lg.jp	機械科，電気科，電子機械科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立狭山清陵高等学校	さいたまけんりつさやませいりょうこうとうがっこう	04-2953-7161	04-2969-1032	〒350-1333 埼玉県狭山市上奥富34-3	f537161(at)pref.saitama.lg.jp	普通科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立志木高等学校	さいたまけんりつしきこうとうがっこう	048-473-8111	048-470-1061	〒353-0001 埼玉県志木市上宗岡1-1-1	j738111(at)pref.saitama.lg.jp	普通科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立庄和高等学校	さいたまけんりつしょうわこうとうがっこう	048-746-7111	048-718-1100	〒344-0117 埼玉県春日部市金崎583	n467111(at)pref.saitama.lg.jp	普通科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立白岡高等学校	さいたまけんりつしらおかこうとうがっこう	0480-92-1505	0408-90-1008	〒349-0213 埼玉県利根郡白岡町高岩275-1	g921505(at)pref.saitama.lg.jp	普通科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立進修館高等学校	さいたまけんりつしんしゅうかんこうとうがっこう	048-556-6291	048-550-1058	〒361-0023 埼玉県行田市長野1320	k566291(at)pref.saitama.lg.jp	普通科，総合科，工業系，ものづくり，電気システム，情報メディア	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立杉戸高等学校	さいたまけんりつすぎとこうとうがっこう	0480-34-6074	0480-36-1013	〒345-0025 埼玉県北葛飾郡杉戸町清地1-1-36	g346074(at)pref.saitama.lg.jp	普通科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立杉戸農業高等学校	さいたまけんりつすぎとのうごうこうとうがっこう	0480-32-0029	0480-36-1012	〒345-0024 埼玉県北葛飾郡杉戸町堤根1684-1	g320029(at)pref.saitama.lg.jp	生物生産技術，園芸，造園，食品流通，生活技術，生物生産工学	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立誠和福祉高等学校	さいたまけんりつせいわふくしこうとうがっこう	048-561-6651	048-560-1051	〒348-0024 埼玉県羽生市神戸706	k616651(at)pref.saitama.lg.jp	総合学科，福祉科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立草加高等学校	さいたまけんりつくさかこうとうがっこう	048-935-4521	048-930-1282	〒340-0002 埼玉県草加市青柳5-3-1	q354521(at)pref.saitama.lg.jp	普通科／定時制あり	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立草加西高等学校	さいたまけんりつそうかにしこうとうがっこう	048-942-6141	048-946-1281	〒340-8524 埼玉県草加市原町2-7-1	q426141(at)pref.saitama.lg.jp	普通科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立草加東高等学校	さいたまけんりつそうかひがしこうとうがっこう	048-936-3570	048-930-1287	〒340-0001 埼玉県草加市柿木町1110-1	q363570(at)pref.saitama.lg.jp	普通科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
