|名称=	|よみ=	|所在地=	|電話番号=	|FAX=	|メールアドレス=	|URL=	|備考=	== その他 ==							
盛岡市立繋小学校	もりおかしりつつなぎしょうがっこう	〒020-0055 岩手県盛岡市繋字舘市114-1	019-689-2226			http://www.city.morioka.iwate.jp/14kyoiku/sch-e/tunagi/index.html			[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
盛岡市立河北小学校	もりおかしりつかほくしょうがっこう	〒020-0062 岩手県盛岡市長田町16-1	019-623-9244			http://academic1.plala.or.jp/iwkahoku/			[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
盛岡市立上田中学校	もりおかしりつうえだちゅうがっこう	〒020-0066 岩手県盛岡市上田2-1-1	019-623-4237	019-623-4239	e9042(at)city.morioka.iwate.jp	http://www.city.morioka.iwate.jp/14kyoiku/sch-j/ueda/			[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
盛岡市立上田小学校	もりおかしりつうえだしょうがっこう	〒020-0066 岩手県盛岡市上田3丁目16-45	019-623-3428			http://www.city.morioka.iwate.jp/14kyoiku/sch-e/ueda/index.html			[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
盛岡市立北松園小学校	もりおかしりつきたまつぞのしょうがっこう	〒020-0105 岩手県盛岡市北松園2丁目12-1	019-661-7775			http://www.kamosika.net/kitasho/index.html			[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
盛岡市立北松園中学校	もりおかしりつきたまつぞのちゅうがっこう	〒020-0105 岩手県盛岡市北松園4-34-1	019-662-0345	019-662-0355	e9057(at)city.morioka.iwate.jp	http://www.city.morioka.iwate.jp/14kyoiku/sch-j/kitamatsuzono/			[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
盛岡市立松園中学校	もりおかしりつまつぞのちゅうがっこう	〒020-0106 岩手県盛岡市東松園2-14-1	019-661-2111	019-661-2112		http://www.ictnet.ne.jp/~matsuchu/			[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
盛岡市立東松園小学校	もりおかしりつひがしまつぞのしょうがっこう	〒020-0106 岩手県盛岡市東松園2丁目5-1	019-661-2655			http://www.city.morioka.iwate.jp/14kyoiku/sch-e/higashimatsuzono/index.html			[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
盛岡市立松園小学校	もりおかしりつまつぞのしょうがっこう	〒020-0107 岩手県盛岡市松園3丁目12-1	019-662-9933			http://www.city.morioka.iwate.jp/14kyoiku/sch-e/matsuzono/index.html			[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
盛岡市立緑が丘小学校	もりおかしりつみどりがおかしょうがっこう	〒020-0111 岩手県盛岡市黒石野1丁目6-1	019-663-1515			http://www.ictnet.ne.jp/~midosyo/			[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
盛岡市立黒石野中学校	もりおかしりつくろいしのちゅうがっこう	〒020-0111 岩手県盛岡市黒石野3-15-1	019-661-5791	019-661-0981	e9048(at)city.morioka.iwate.jp	http://www.city.morioka.iwate.jp/14kyoiku/sch-j/kuroishino/			[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
盛岡市立高松小学校	もりおかしりつたかまつしょうがっこう	〒020-0113 岩手県盛岡市上田堤2丁目31-12	019-661-2657			http://www.ictnet.ne.jp/~takamatsu.es/			[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
盛岡市立城北小学校	もりおかしりつじょうほくしょうがっこう	〒020-0122 岩手県盛岡市みたけ3丁目12-1	019-641-0187			http://www.ictnet.ne.jp/~jo-hoku.es/			[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
盛岡市立黒石野中学校北杜分校	もりおかしりつくろいしのちゅうがっこうほくとぶんこう	〒020-0124 岩手県盛岡市厨川2-3-1	019-641-3380						[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
盛岡市立北厨川小学校	もりおかしりつきたくりやがわしょうがっこう	〒020-0124 岩手県盛岡市厨川3丁目5-1	019-641-0133			http://www.city.morioka.iwate.jp/14kyoiku/sch-e/kitakuriyagawa/index.html			[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
盛岡市立厨川小学校	もりおかしりつくりやがわしょうがっこう	〒020-0127 岩手県盛岡市前九年1丁目2-1	019-647-0110			http://www.ictnet.ne.jp/~kuriyagaw.es/			[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
盛岡市立厨川中学校	もりおかしりつくりやがわちゅうがっこう	〒020-0133 岩手県盛岡市青山2-7-1	019-647-2253	019-647-2255	e9041(at)city.morioka.iwate.jp	http://www2.schoolweb.ne.jp/weblog/index.php?id=0320003			[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
盛岡市立青山小学校	もりおかしりつあおやましょうがっこう	〒020-0133 岩手県盛岡市青山2丁目7-2	019-647-0120			http://www.city.morioka.iwate.jp/14kyoiku/sch-e/aoyama/index.html			[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
盛岡市立大新小学校	もりおかしりつだいしんしょうがっこう	〒020-0134 岩手県盛岡市南青山町6-10	019-647-7531			http://www.ictnet.ne.jp/~daishin.es/			[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
盛岡市立土淵小学校	もりおかしりつつちぶちしょうがっこう	〒020-0144 岩手県盛岡市土淵字幅2-3	019-647-4740			http://www.city.morioka.iwate.jp/14kyoiku/sch-e/tsuchibuchi/index.html			[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
盛岡市立土淵中学校	もりおかしりつつちぶちちゅうがっこう	〒020-0144 岩手県盛岡市土淵字幅2-3	019-647-8590	019-647-9848	e9047(at)city.morioka.iwate.jp	http://www.city.morioka.iwate.jp/14kyoiku/sch-j/tsuchibuchi/			[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
滝沢村立篠木小学校	たきざわそんりつしのぎしょうがっこう	〒020-0161 岩手県岩手郡滝沢村篠木字中屋敷60	019-687-2064			http://www.rnac.ne.jp/~sinogi60			[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
滝沢村立姥屋敷小学校	たきざわそんりつうばやしきしょうがっこう	〒020-0172 岩手県岩手郡滝沢村鵜飼字安達117-19	019-680-2401			http://www.rnac.ne.jp/~ubachu			[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
滝沢村立姥屋敷中学校	たきざわそんりつうばやしきちゅうがっこう	〒020-0172 岩手県岩手郡滝沢村鵜飼字安達117-19	019-680-2401	019-680-2004	ubachu(at)rnac.ne.jp	http://www.rnac.ne.jp/~ubachu/			[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
滝沢村立滝沢南中学校	たきざわそんりつたきざわみなみちゅうがっこう	〒020-0172 岩手県岩手郡滝沢村鵜飼字滝向11-1	019-687-2021	019-687-5063	takinan(at)rnac.ne.jp	http://www.rnac.ne.jp/~takinan/			[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
滝沢村立鵜飼小学校	たきざわそんりつうかいしょうがっこう	〒020-0172 岩手県岩手郡滝沢村鵜飼字洞畑87-1	019-687-2004			http://www.rnac.ne.jp/~ukaikko			[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
滝沢村立滝沢小学校	たきざわそんりつたきざわしょうがっこう	〒020-0173 岩手県岩手郡滝沢村滝沢字外山86-19	019-687-2314			http://www.rnac.ne.jp/~taki-syo			[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
滝沢村立滝沢中学校	たきざわそんりつたきざわちゅうがっこう	〒020-0173 岩手県岩手郡滝沢村滝沢字外山86-20	019-684-1771	019-684-1980	taki-chu(at)eins.rnac.ne.jp	http://www.eins.rnac.ne.jp/~taki-chu/			[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
盛岡市立北陵中学校	もりおかしりつほくりょうちゅうがっこう	〒020-0173 岩手県岩手郡滝沢村滝沢字穴口419	019-684-3323	019-684-3626	e9051(at)city.morioka.iwate.jp	http://www.city.morioka.iwate.jp/14kyoiku/sch-j/hokuryo/index.html			[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
滝沢村立一本木中学校	たきざわそんりついっぽんぎちゅうがっこう	〒020-0173 岩手県岩手郡滝沢村滝沢字巣子148	019-688-4634	019-688-7257	ippontyu(at)eins.rnac.ne.jp	http://www.eins.rnac.ne.jp/~ippontyu/			[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
滝沢村立滝沢第二中学校	たきざわそんりつたきざわだいにちゅうがっこう	〒020-0173 岩手県岩手郡滝沢村滝沢字巣子152-91	019-688-4907	019-688-7160		http://www.rnac.ne.jp/~taki2chu/			[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
滝沢村立滝沢第二小学校	たきざわそんりつたきざわだいにしょうがっこう	〒020-0173 岩手県岩手郡滝沢村滝沢字巣子156-8	019-688-4002			http://www.rnac.ne.jp/~taki2syo			[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
滝沢村立一本木小学校	たきざわそんりついっぽんぎしょうがっこう	〒020-0173 岩手県岩手郡滝沢村滝沢字柳原22	019-688-4253			http://www.rnac.ne.jp/~one-e-s			[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
滝沢村立柳沢小学校	たきざわそんりつやなぎさわしょうがっこう	〒020-0173 岩手県岩手郡滝沢村滝沢字柳沢1171	019-688-2221			http://www.rnac.ne.jp/~yanagisa			[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
滝沢村立柳沢中学校	たきざわそんりつやなぎさわちゅうがっこう	〒020-0173 岩手県岩手郡滝沢村滝沢字柳沢1171	019-688-2221	019-688-7582	yanagisa(at)rnac.ne.jp	http://www.rnac.ne.jp/~yanagisa/			[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
滝沢村立滝沢東小学校	たきざわそんりつたきざわひがししょうがっこう	〒020-0173 岩手県岩手郡滝沢村滝沢字狼久保795-1	019-688-6602			http://www.rnac.ne.jp/%7Ete1347/			[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
盛岡市立月が丘小学校	もりおかしりつつきがおかしょうがっこう	〒020-0173 岩手県滝沢村滝沢字穴口328	019-684-3744			http://www.city.morioka.iwate.jp/14kyoiku/sch-e/tsukigaoka/index.html			[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
盛岡市立玉山小学校	もりおかしりつたまやましょうがっこう	〒020-0201 岩手県盛岡市玉山区日戸字市の坪53	019-685-2250			http://www.city.morioka.iwate.jp/14kyoiku/sch-e/tamayama/index.html			[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
盛岡市立玉山中学校	もりおかしりつたまやまちゅうがっこう	〒020-0201 岩手県盛岡市玉山区日戸字鷹高39-2	019-685-2252	019-685-2035	e9068(at)city.morioka.iwate.jp	http://www.city.morioka.iwate.jp/14kyoiku/sch-j/tamayama/			[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
盛岡市立城内小学校	もりおかしりつじょうないしょうがっこう	〒020-0202 岩手県盛岡市玉山区玉山字田畑19-1	019-685-2301			http://www.city.morioka.iwate.jp/14kyoiku/sch-e/jonai/index.html			[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
盛岡市立手代森小学校	もりおかしりつてしろもりしょうがっこう	〒020-0401 岩手県盛岡市手代森22-47	019-696-2008			http://www.city.morioka.iwate.jp/14kyoiku/sch-e/teshiromori/index.html			[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
盛岡市立乙部中学校	もりおかしりつおとべちゅうがっこう	〒020-0402 岩手県盛岡市黒川21-51	019-696-2611			http://academic4.plala.or.jp/otochu/			[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
盛岡市立都南東小学校	もりおかしりつとなんひがししょうがっこう	〒020-0403 岩手県盛岡市乙部12-16-1	019-696-5600			http://www.city.morioka.iwate.jp/14kyoiku/sch-e/tonanhigashi/index.html			[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
雫石町立七ッ森小学校	しずくいしちょうりつななつもりしょうがっこう	〒020-0503 岩手県岩手郡雫石町七ﾂ森16番地240	019-692-0571						[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
雫石町立雫石小学校	しずくいしちょうりつしずくいししょうがっこう	〒020-0525 岩手県岩手郡雫石町雫石町源大堂50番地	019-692-2203						[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
雫石町立雫石中学校	しずくいしちょうりつしずくいしちゅうがっこう	〒020-0544 岩手県岩手郡雫石町字柿木74-1	019-692-0321	019-692-0322	shizukuj(at)educet.plala.or.jp	http://www.schoolweb.ne.jp/weblog/index.php?id=0320001			[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
雫石町立安庭小学校	しずくいしちょうりつあにわしょうがっこう	〒020-0572 岩手県岩手郡雫石町西安庭41-152-1	019-692-2206						[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
雫石町立大村小学校	しずくいしちょうりつおおむらしょうがっこう	〒020-0573 岩手県岩手郡雫石町南畑14-2	019-695-2730						[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
雫石町立南畑小学校	しずくいしちょうりつみなみはたしょうがっこう	〒020-0573 岩手県岩手郡雫石町南畑32-15-26	019-695-2204						[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
雫石町立橋場小学校	しずくいしちょうりつはしばしょうがっこう	〒020-0582 岩手県岩手郡雫石町橋場安栖63-2	019-692-3482						[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
雫石町立御明神小学校	しずくいしちょうりつおみょうじんしょうがっこう	〒020-0583 岩手県岩手郡雫石町上野上屋敷26番地	019-692-3204			http://omyojin.sub.jp/top/index.html			[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
雫石町立西根小学校	しずくいしちょうりつにしねしょうがっこう	〒020-0584 岩手県岩手郡雫石町西根上駒木野320番地2	019-693-2324						[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
雫石町立下長山小学校	しずくいしちょうりつしもながやましょうがっこう	〒020-0585 岩手県岩手郡雫石町長山羽上81番地	019-692-2224						[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
雫石町立上長山小学校	しずくいしちょうりつかみながやましょうがっこう	〒020-0585 岩手県岩手郡雫石町長山早坂260番地	019-693-4324						[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
盛岡市立浅岸小学校	もりおかしりつあさぎししょうがっこう	〒020-0801 岩手県盛岡市浅岸字上大葛1	019-651-2132			http://www.city.morioka.iwate.jp/14kyoiku/sch-e/asagishi/index.html			[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
盛岡市立城東中学校	もりおかしりつじょうとうちゅうがっこう	〒020-0805 岩手県盛岡市東新庄1-30-1	019-624-1524	019-624-5723	e9050(at)city.morioka.iwate.jp	http://www.city.morioka.iwate.jp/14kyoiku/sch-j/joto/			[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
岩手大学教育学部附属中学校	いわてだいがくきょういくがくぶふぞくちゅうがっこう	〒020-0807 岩手県盛岡市加賀野三丁目9-1	019-623-4241	019-623-4243	ftb(at)iwate-u.ac.jp	http://www.edu.iwate-u.ac.jp/fuchu/			[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
盛岡市立川目小学校	もりおかしりつかわめしょうがっこう	〒020-0812 岩手県盛岡市川目7-12	019-622-6256			http://www.city.morioka.iwate.jp/14kyoiku/sch-e/kawame/index.html			[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
盛岡市立山王小学校	もりおかしりつさんのうしょうがっこう	〒020-0815 岩手県盛岡市小杉山3-1	019-622-2230			http://www.city.morioka.iwate.jp/14kyoiku/sch-e/sanno/index.html			[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
盛岡市立中野小学校	もりおかしりつなかのしょうがっこう	〒020-0816 岩手県盛岡市中野2丁目12-1	019-653-4302			http://www.city.morioka.iwate.jp/14kyoiku/sch-e/nakano/index.html			[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
盛岡市立河南中学校	もりおかしりつかなんちゅうがっこう	〒020-0822 岩手県盛岡市茶畑2-17-1	019-623-2475	019-623-9401	e9043(at)city.morioka.iwate.jp	http://www.city.morioka.iwate.jp/14kyoiku/sch-j/kanan/			[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
盛岡市立大慈寺小学校	もりおかしりつだいじじしょうがっこう	〒020-0828 岩手県盛岡市大慈寺町6-47	019-623-6231			http://www.city.morioka.iwate.jp/14kyoiku/sch-e/daijiji/index.html			[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
盛岡市立見前南小学校	もりおかしりつみるまえみなみしょうがっこう	〒020-0833 岩手県盛岡市西見前13-167	019-638-2500			http://www.city.morioka.iwate.jp/14kyoiku/sch-e/mirumaeminami/index.html			[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
盛岡市立見前南中学校	もりおかしりつみるまえみなみちゅうがっこう	〒020-0833 岩手県盛岡市西見前16-73	019-637-3722	019-637-3723	e9056(at)city.morioka.iwate.jp	http://www.city.morioka.iwate.jp/14kyoiku/sch-j/mirumaeminami/			[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
盛岡市立見前小学校	もりおかしりつみるまえしょうがっこう	〒020-0833 岩手県盛岡市西見前18-17-2	019-638-1618			http://www.city.morioka.iwate.jp/14kyoiku/sch-e/mirumae/index.html			[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
盛岡市立永井小学校	もりおかしりつながいしょうがっこう	〒020-0834 岩手県盛岡市永井10-16	019-638-1443			http://www.city.morioka.iwate.jp/14kyoiku/sch-e/nagai/index.html			[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
盛岡市立見前中学校	もりおかしりつみるまえちゅうがっこう	〒020-0835 岩手県盛岡市津志田14-34	019-638-0310	019-638-0314		http://academic2.plala.or.jp/miruchu/			[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
盛岡市立津志田小学校	もりおかしりつつしだしょうがっこう	〒020-0835 岩手県盛岡市津志田20-20	019-637-2643			http://www.city.morioka.iwate.jp/14kyoiku/sch-e/tsushida/index.html			[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
盛岡市立羽場小学校	もりおかしりつはばしょうがっこう	〒020-0841 岩手県盛岡市羽場17-55-2	019-638-1049			http://www.city.morioka.iwate.jp/14kyoiku/sch-e/haba/index.html			[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
盛岡市立飯岡中学校	もりおかしりついいおかちゅうがっこう	〒020-0853 岩手県盛岡市下飯岡6-51-1	019-638-0609	019-638-0965	e9054(at)city.morioka.iwate.jp	http://www.city.morioka.iwate.jp/14kyoiku/sch-j/iioka/			[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
盛岡市立飯岡小学校	もりおかしりついいおかしょうがっこう	〒020-0853 岩手県盛岡市下飯岡8-48	019-638-1048			http://www.city.morioka.iwate.jp/14kyoiku/sch-e/iioka/index.html			[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
盛岡市立仙北小学校	もりおかしりつせんぼくしょうがっこう	〒020-0861 岩手県盛岡市仙北2丁目19-1	019-636-0728			http://www.ictnet.ne.jp/~senboku.es/			[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
盛岡市立仙北中学校	もりおかしりつせんぼくちゅうがっこう	〒020-0861 岩手県盛岡市仙北3-18-1	019-636-0573	019-636-2550	e9044(at)city.morioka.iwate.jp	http://www.city.morioka.iwate.jp/14kyoiku/sch-j/senboku/			[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
盛岡市立本宮小学校	もりおかしりつもとみやしょうがっこう	〒020-0866 岩手県盛岡市本宮2-25-1	019-636-0249			http://www.city.morioka.iwate.jp/14kyoiku/sch-e/motomiya/index.html			[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
盛岡市立大宮中学校	もりおかしりつおおみやちゅうがっこう	〒020-0866 岩手県盛岡市本宮字大宮5-1	019-636-3926	019-636-0718	e9045(at)city.morioka.iwate.jp	http://www.city.morioka.iwate.jp/14kyoiku/sch-j/oomiya/			[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
盛岡市立下橋中学校	もりおかしりつしものはしちゅうがっこう	〒020-0876 岩手県盛岡市馬場町1-1	019-623-4337	019-623-4338	e9039(at)city.morioka.iwate.jp	http://www.city.morioka.iwate.jp/14kyoiku/sch-j/shimonohashi/			[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
盛岡市立杜陵小学校	もりおかしりつとりょうしょうがっこう	〒020-0878 岩手県盛岡市肴町1-6	019-623-1338			http://www.ictnet.ne.jp/~toryou.es/			[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
盛岡市立城南小学校	もりおかしりつじょうなんしょうがっこう	〒020-0886 岩手県盛岡市若園町9-20	019-623-2358			http://www.ictnet.ne.jp/~johnan.es/			[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
一関市立中里中学校	いちのせきしりつなかさとちゅうがっこう	〒021-0002 岩手県一関市中里字太平山4	0191-23-5096						[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
一関市立中里小学校	いちのせきしりつなかさとしょうがっこう	〒021-0014 岩手県一関市蘭梅町7-1	0191-23-2231						[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
一関市立山目中学校	いちのせきしりつやまのめちゅうがっこう	〒021-0015 岩手県一関市山目字館46-1	0191-23-5233	0191-23-7957		http://academic2.plala.or.jp/yamachu/			[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
一関市立山目小学校	いちのせきしりつやまのめしょうがっこう	〒021-0024 岩手県一関市幸町2-47	0191-23-2257						[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
一関市立赤荻小学校	いちのせきしりつあこおぎしょうがっこう	〒021-0041 岩手県一関市赤荻字桜町213	0191-25-2130						[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
