ID,{{subst:新規施設,英文タイトル,| 名称=,| よみ=,| 都道府県=,| 施設種別=,| 所在地=,| 緯度経度=,|電話=,|FAX=,| メールアドレス=,| URL=,| Twitterアカウント=,|備考=,| 被害状況=,| 職員・利用者の被害=,| 施設の被害=,| 収蔵品・展示の被害=,| その他の被害=,| 運営情報=,| 救援状況=,| その他=,| 情報源=,| 記入者=,| 元情報=,| カテゴリー,典拠
,,,東海大学学園史資料センター ,とうかいだいがくがくえんししりょうせんたー,,,259-1207 神奈川県平塚市北金目4-1-1,,0463-50-2450  ,0463-50-2449 ,,http://www.u-tokai.ac.jp/shiryo_center/,,,,,HP 3.12現在、東海大学の各キャンパスでは、建物および施設の安全確認を進めております。これまでのところ大きな損壊等は発生しておりません。,,,,,,,,,文書館,全史料協
,,,新潟市文化観光・スポーツ部歴史文化課 ,にいがたしぶんかかんこう・すぽーつぶれきしぶんかか,,,951-8550 新潟県新潟市学校町通1-602-1 ,,025-226-2584 ,,,http://www.city.niigata.jp/info/rekishi_bunka/,,,,,,,,,,,,,,文書館,全史料協
,,,富山県公文書館 ,とやまけんこうぶんしょかん,,,930-0115 富山県富山市茶屋町33-2 ,,0764-34-4050 ,,,http://www.pref.toyama.jp/branches/1147/,,,,,,,,,,,,,,文書館,全史料協
,,,石川県立図書館 ,いしかわけんりつとしょかん,,,920-0964 石川県金沢市本多町3-2-15 ,,076-223-9580 ,,,www.library.pref.ishikawa.jp/,,,,,,,,,,,,,,文書館,全史料協
,,,福井県文書館 ,ふくいけんぶんしょかん,,,918-8113 福井県福井市下馬町51-11 ,,0776-33-8890 ,0776(33)8891　,bunshokan<@>pref.fukui.lg.jp,http://www.archives.pref.fukui.jp/,,,,,,,,,,,,,,文書館,全史料協
,,,福井市総務部行政管理課 ,ふくいしそうむぶぎょうせいかんりか,,,910-8511 福井県福井市大手3-10-1 ,,0776-20-5230 ,,,http://www.city.fukui.lg.jp/d120/gyousei/index.html,,"行政管理室行政管理課分室
資料史、公文書等の収集、整理及び保存に関すること
電話：0776-20-5005 / FAX：0776-20-5765 / メール： hensan@city.fukui.lg.jp
場所：福井市文京２丁目７－７(地図)
",,,,,,,,,,,,文書館,全史料協
,,,宮内庁宮内公文書館,くないちょうくないこうぶんしょかん,,,,,,,,,,,,,,,,,,,,,,文書館,NAリンク
,,,外務省外交史料館,がいむしょうがいこうしりょうかん,,,,,,,,,,,,,,,,,,,,,,文書館,NAリンク
,,,日本銀行金融研究所アーカイブ,にっぽんぎんこうきんゆうけんきゅうしょあーかいぶ,,,,,,,,,,,,,,,,,,,,,,文書館,NAリンク
,,,防衛省防衛研究所図書館,ぼうえいしょうぼうえいけんきゅうしょとしょかん,,,,,,,,,,,,,,,,,,,,,,文書館,NAリンク
,,,国立国会図書館 憲政資料室,こくりつこっかいとしょかん　けんせいりしょうしつ,,,,,,,,,,,,,,,,,,,,,,文書館,NAリンク
,,,衆議院憲政記念館,しゅうぎいんけんせいきねんかん,,,,,,,,,,,,,,,,,,,,,,文書館,NAリンク
,,,沖縄戦関係資料閲覧室,おきなわせんかんけいしりょうえつらんしつ,,,,,,,,,,,,,,,,,,,,,,文書館,NAリンク
△,,,国土地理院,こくどちりいん,,,,,,,,,,,,,,,,,,,,,,文書館,NAリンク
,,,国文学研究資料館,こくぶんがくけんきゅうしりょうかん,,,,,,,,,,,,,,,,,,,,,,文書館,NAリンク
,,,しょうけい館,しょうけいかん,,,,,,,,,,,,,,,,,,,,,,文書館,NAリンク
,,,昭和館,しょうわかん,,,,,,,,,,,,,,,,,,,,,,文書館,NAリンク
△,,,国立女性教育会館　女性アーカイブセンター,こくりつじょせいきょういくかいかん　じょせいあーかいぶせんたー,,,,,,,,,,,,,,,,,,,,,,文書館,NAリンク
,,,税務情報センター 租税史料室,ぜいむじょうほうせんたー　そぜいしりょうしつ,,,,,,,,,,,,,,,,,,,,,,文書館,NAリンク
,,,鉄道博物館,てつどうはくぶつかん,,,,,,,,,,,,,,,,,,,,,,文書館,NAリンク
,,,国際日本文化研究センター,こくさいにっぽんぶんかけんきゅうせんたー,,,,,,,,,,,,,,,,,,,,,,文書館,NAリンク
,,,国立ハンセン病資料館,こくりつはんせんびょうしりょうかん,,,,,,,,,,,,,,,,,,,,,,文書館,NAリンク
,,,平和祈念展示資料館,へいわきねんてんじしりょうかん,,,,,,,,,,,,,,,,,,,,,,文書館,NAリンク
,,,防災科学技術研究所,ぼうさいかがくぎじゅつけんきゅうじょ,,,,,,,,,,,,,,,,,,,,,,文書館,NAリンク
,,,国立民族学博物館,こくりつみんぞくがくはくぶつかん,,,,,,,,,,,,,,,,,,,,,,文書館,NAリンク
,,,小樽商科大学緑丘アーカイブズ,おたるしょうかだいがくみどりがおかあーかいぶず,,,,,,,,,,,,,,,,,,,,,,文書館,NAリンク
,,,北海道大学文書館,ほっかいどうだいがくぶんしょかん,,,,,,,,,,,,,,,,,,,,,,文書館,NAリンク
,,,東京大学史史料室,とうきょうだいがくししりょうしつ,,,,,,,,,,,,,,,,,,,,,,文書館,NAリンク
,,,学習院,がくしゅういん,,,,,,,,,,,,,,,,,,,,,,文書館,大学史資料協議会
,,,官房用度課（三の丸尚蔵館） ,かんぼうようどか（さんのまるしょうぞうかん）,,,東京都千代田区千代田1の1,,,,,,,,,,,,,,,,,,,文書館,公文書管理法
,,,宮内庁書陵部図書課（図書寮文庫） ,くないちょうしょりょうぶとしょか（ずしょりょうぶんこ）,,,東京都千代田区千代田1の1,,,,,,,,,,,,,,,,,,,文書館,公文書管理法
,,,国税庁税務大学校研究部（税務情報センター租税史料室） ,こくぜいちょうぜいむだいがっこうけんきゅうぶ（ぜいむじょうほうせんたーそぜいしりょうしつ）,,,埼玉県和光市南2の3の7,,,,,,,,,,,,,,,,,,,文書館,公文書管理法
,,,文部科学省日本学士院（図書室） ,もんぶかがくしょうにほんがくしいん（としょしつ）,,,東京都台東区上野公園7の32,,,,,,,,,,,,,,,,,,,文書館,公文書管理法
,,,文化庁日本芸術院（展示室及び保管庫） ,ぶんかちょうにほんげいじゅついん（てんじしつおよびほかんこ）,,,東京都台東区上野公園1の30,,,,,,,,,,,,,,,,,,,文書館,公文書管理法
,,,国土交通省国土地理院地理空間情報部情報サービス課（地図と測量の科学館）,こくどこうつうしょうこくどちりいんちりくうかんじょうほうぶじょうほうさーびすか（ちずとそくりょうのかがくかん）,,,茨城県つくば市北郷1,,,,,,,,,,,,,,,,,,,文書館,公文書管理法
,,,防衛省防衛大学校総合情報図書館,ぼうえいしょうぼうえいだいがっこうそうごうじょうほうとしょかん,,,神奈川県横須賀市走水1の10の20,,,,,,,,,,,,,,,,,,,文書館,公文書管理法
,,,防衛省防衛研究所図書館（史料室） ,ぼうえいしょうぼうえいけんきゅうじょとしょかん（しりょうしつ）,,,東京都目黒区中目黒2の2の1,,,,,,,,,,,,,,,,,,,文書館,公文書管理法
,,NATIONAL FILM CENTER,東京国立近代美術館フィルムセンター,とうきょうこくりつきんだいびじゅつかんふぃるむせんたー,,,,,,,,http://www.momat.go.jp/fc.html,,,,,,,,,,,,,,文書館,映画保存協会
,,,川崎市市民ライブラリー 映画部門,かわさきししみんらいぶらりーえいがぶもん,,,,,,,,http://www.kawasaki-museum.jp/display/cinema/,,,,,,,,,,,,,,文書館,映画保存協会
,,,川喜多記念映画文化財団 ,かわきたきねんえいがぶんかざいだん,,,,,,,,http://www.kawakita-film.or.jp/,,,,,,,,,,,,,,文書館,映画保存協会
,,,プラネット映画資料図書館 ,ぷらねっとえいがしりょうとしょかん,,,,,,,,http://www.alpha-net.ne.jp/users2/planet1/,,,,,,,,,,,,,,文書館,映画保存協会
,,,早稲田大学坪内博士記念演劇博物館 ,わせだだいがくつぼうちはかせきねんえんげきはくぶつかん,,,,,,,,http://www.waseda.jp/enpaku/index.html,,,,,,,,,,,,,,文書館,映画保存協会
,,,世田谷文学館 ,せたがやぶんがくかん,,,,,,,,http://www.setabun.or.jp/,,,,,,,,,,,,,,文書館,映画保存協会
,,,松竹大谷図書館 ,しょうちくおおたにとしょかん,,,,,,,,http://www.shochiku.co.jp/shochiku-otani-toshokan/,,,,,,,,,,,,,,文書館,映画保存協会
,,,武蔵野美術大学 イメージライブラリー,むさしのびじゅつだいがくいめーじらいぶらりー,,,,,,,,,,,,,,,,,,,,,,文書館,映画保存協会
,,,大阪芸術大学 玩具映画プロジェクト ,おおさかげいじゅつだいがくがんぐえいがぷろじぇくと,,,,,,,,http://toyfilm.jp/,,,,,,,,,,,,,,文書館,映画保存協会
,,,厚田・岩波映像資料センター ,あつた・いわなみえいぞうしりょうせんたー,,,,,,,,http://www.a-i-kan.org/,,,,,,,,,,,,,,文書館,映画保存協会
,,,山形国際ドキュメンタリー映画祭フィルムライブラリー ,やまがたこくさいどきゅめんたりーえいがさいふぃるむらいぶらりー,,,,,,,,http://www.yidff.jp/library/library.html,,,,,,,,,,,,,,文書館,映画保存協会
,,,NHKアーカイブス,えぬ・えぃっち・けー・あーかいぶす,,,,,,,,http://www.nhk.or.jp/archives/,,,,,,,,,,,,,,文書館
,,,放送ライブラリー,ほうそうらいぶらりー,,,,,,,,http://www.bpcj.or.jp/,,,,,,,,,,,,,,文書館
