|名称=	|よみ=	|所在地=	|電話番号=	|FAX=	|URL=	|備考=					
蓮田市立黒浜南小学校	はすだしりつくろはまみなみしょうがっこう	〒349-0101 埼玉県蓮田市黒浜722	048-769-4814	048-769-2302	http://homepage2.nifty.com/kuronan/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
蓮田市立黒浜小学校	はすだしりつくろはましょうがっこう	〒349-0101 埼玉県蓮田市黒浜3069	048-768-1047	048-768-1460	http://homepage2.nifty.com/kurosyou/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
蓮田市立蓮田南小学校	はすだしりつはすだみなみしょうがっこう	〒349-0111 埼玉県蓮田市東6-9-11	048-768-0074	048-768-0610	http://homepage3.nifty.com/hasudaminami/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
美里町立東児玉小学校	みさとちょうりつひがしこだましょうがっこう	〒367-0103 埼玉県児玉郡美里町阿那志33	0495-76-0335	0495-76-0199	http://homepage3.nifty.com/higashikodamasho/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
蓮田市立黒浜西小学校	はすだしりつくろはまにししょうがっこう	〒349-0141 埼玉県蓮田市西新宿3-84	048-769-3169	048-769-2301	http://homepage3.nifty.com/kuronishi-hasuda/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
本庄市立共和小学校	ほんじょうしりつきょうわしょうがっこう	〒367-0204 埼玉県本庄市児玉町蛭川895-1	0495-72-1349	0495-73-1122	http://honjokyowa.blogspot.com/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
さいたま市立岩槻小学校	さいたましりついわつきしょうがっこう	〒339-0057 埼玉県さいたま市岩槻区本町5-6-45	048-756-3341	048-758-7488	http://iwatsuki-e.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
さいたま市立神田小学校	さいたましりつじんでしょうがっこう	〒338-0812 埼玉県さいたま市桜区神田541-1	048-853-4377	048-840-1428	http://jinde-e.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
さいたま市立慈恩寺小学校	さいたましりつじおんじしょうがっこう	〒339-0009 埼玉県さいたま市岩槻区慈恩寺259	048-794-1140	048-795-0377	http://jionji-e.saitama-city.ed.jp		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
さいたま市立城北小学校	さいたましりつじょうほくしょうがっこう	〒339-0061 埼玉県さいたま市岩槻区岩槻6619	048-757-5391	048-758-7491	http://jouhoku-e.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
さいたま市立城南小学校	さいたましりつじょうなんしょうがっこう	〒339-0032 埼玉県さいたま市岩槻区南下新井1191-1	048-798-4811	048-798-8736	http://jounan-e.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
さいたま市立上木崎小学校	さいたましりつかみきざきしょうがっこう	〒330-0071 埼玉県さいたま市浦和区上木崎3-4-3	048-831-3879	048-835-1350	http://kamikizaki-e.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
さいたま市立上小小学校	さいたましりつかみこしょうがっこう	〒330-0855 埼玉県さいたま市大宮区上小町1337-1	048-644-6251	048-644-5633	http://kamiko-e.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
さいたま市立上落合小学校	さいたましりつかみおちあいしょうがっこう	〒338-0001 埼玉県さいたま市中央区上落合4-14-24	048-852-5381	048-852-0150	http://kamiochiai-e.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
さいたま市立上里小学校	さいたましりつかみさとしょうがっこう	〒339-0006 埼玉県さいたま市岩槻区上里2-2	048-794-2316	048-795-0378	http://kamisato-e.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
さいたま市立柏崎小学校	さいたましりつかしわざきしょうがっこう	〒339-0045 埼玉県さいたま市岩槻区柏崎762	048-798-3831	048-798-8672	http://kashiwazaki-e.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
さいたま市立片柳小学校	さいたましりつかたやなぎしょうがっこう	〒337-0032 埼玉県さいたま市見沼区東新井244-1	048-683-3174	048-683-8971	http://katayanagi-e.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
さいたま市立川通小学校	さいたましりつかわどおりしょうがっこう	〒339-0018 埼玉県さいたま市岩槻区大野島422-1	048-799-1060	048-799-0424	http://kawadoori-e.saitama-city.ed.jp		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
さいたま市立河合小学校	さいたましりつかわいしょうがっこう	〒339-0076 埼玉県さいたま市岩槻区平林寺351	048-756-2243	048-758-7492	http://kawai-e.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
さいたま市立岸町小学校	さいたましりつきしちょうしょうがっこう	〒330-0064 埼玉県さいたま市浦和区岸町5-20-4	048-861-4320	048-836-1576	http://kishicho-e.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
さいたま市立北浦和小学校	さいたましりつきたうらわしょうがっこう	〒330-0074 埼玉県さいたま市浦和区北浦和2-18-3	048-831-2463	048-835-1352	http://kitaurawa-e.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
さいたま市立木崎小学校	さいたましりつきざきしょうがっこう	〒330-0072 埼玉県さいたま市浦和区領家4-19-4	048-831-2281	048-835-1351	http://kizaki-e.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
さいたま市立馬宮東小学校	さいたましりつまみやひがししょうがっこう	〒331-0061 埼玉県さいたま市西区西遊馬189-1	048-624-4452	048-624-2247	http://mamiyahigashi-e.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
さいたま市立馬宮西小学校	さいたましりつまみやにししょうがっこう	〒331-0068 埼玉県さいたま市西区飯田新田189-2	048-624-4041	048-624-2273	http://mamiyanishi-e.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
松伏町立金杉小学校	まつぶしちょうりつかなすぎしょうがっこう	〒343-0106 埼玉県松伏町大川戸3854	048-991-5000	048-991-5023	http://matsubushi.ed.jp/kanasyo/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
松伏町立松伏第二小学校	まつぶしちょうりつまつぶしだいにしょうがっこう	〒343-0117 埼玉県北葛飾郡松伏町田中1-4-6	048-992-0365	048-992-0366	http://matsubushi.ed.jp/matu2syo/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
松伏町立松伏小学校	まつぶしちょうりつまつぶししょうがっこう	〒343-0114 埼玉県北葛飾郡松伏町ゆめみ野東1-1-2	048-991-2238	048-991-2232	http://matsubushi.ed.jp/matusyo/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
本庄市立北泉小学校	ほんじょうしりつきたいずみしょうがっこう	〒367-0031 埼玉県本庄市北堀1871-1	0495-22-3791	0495-23-3305	http://members.my.home.ne.jp/kitaizumi-syo/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
本庄市立中央小学校	ほんじょうしりつちゅうおうしょうがっこう	〒367-0043 埼玉県本庄市緑1-16-1	0495-21-2361	0495-23-3307	http://members.my.home.ne.jp/my1564997/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
さいたま市立三橋小学校	さいたましりつみはししょうがっこう	〒330-0856 埼玉県さいたま市大宮区三橋2-20	048-641-0792	048-644-7322	http://mihashi-e.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
さいたま市立三室小学校	さいたましりつみむろしょうがっこう	〒336-0911 埼玉県さいたま市緑区三室1994	048-874-1207	048-810-1122	http://mimuro-e.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
北本市立南小学校	きたもとしりつみなみしょうがっこう	〒364-0021 埼玉県北本市北本宿182	048-591-4709	048-591-5802	http://minami.web2.jp/?page_id=88		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
さいたま市立南浦和小学校	さいたましりつみなみうらわしょうがっこう	〒336-0022 埼玉県さいたま市南区白幡1-1-20	048-861-3781	048-836-1585	http://minamiurawa-e.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
さいたま市立見沼小学校	さいたましりつみぬましょうがっこう	〒337-0051 埼玉県さいたま市見沼区東大宮2-45	048-663-7342	048-663-9887	http://minuma-e.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
美里町立大沢小学校	みさとちょうりつおおさわしょうがっこう	〒367-0115 埼玉県児玉郡美里町猪俣3019-2	0495-76-0390	0495-76-4824	http://misato-oosawa.world.coocan.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
さいたま市立宮原小学校	さいたましりつみやはらしょうがっこう	〒331-0812 埼玉県さいたま市北区宮原町4-102-6	048-664-5153	048-664-8989	http://miyahara-e.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
さいたま市立宮前小学校	さいたましりつみやまえしょうがっこう	〒331-0046 埼玉県さいたま市西区宮前町341	048-623-8121	048-624-2357	http://miyamae-e.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
さいたま市立本太小学校	さいたましりつもとぶとしょうがっこう	〒330-0052 埼玉県さいたま市浦和区本太2-26-25	048-882-3007	048-811-1333	http://motobuto-e.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
さいたま市立向小学校	さいたましりつむかいしょうがっこう	〒336-0042 埼玉県さいたま市南区大谷口5437	048-874-1150	048-810-1326	http://mukai-e.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
さいたま市立仲町小学校	さいたましりつなかちょうしょうがっこう	〒330-0061 埼玉県さいたま市浦和区常盤8-18-4	048-831-4781	048-835-1355	http://nakacho-e.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
さいたま市立中島小学校	さいたましりつなかじましょうがっこう	〒338-0822 埼玉県さいたま市桜区中島1-28-1	048-854-9900	048-840-1429	http://nakajima-e.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
さいたま市立仲本小学校	さいたましりつなかもとしょうがっこう	〒330-0052 埼玉県さいたま市浦和区本太2-12-31	048-882-3008	048-811-1331	http://nakamoto-e.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
さいたま市立中尾小学校	さいたましりつなかおしょうがっこう	〒336-0932 埼玉県さいたま市緑区中尾2596	048-873-0216	048-810-1120	http://nakao-e.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
さいたま市立七里小学校	さいたましりつななさとしょうがっこう	〒337-0012 埼玉県さいたま市見沼区東宮下312	048-683-3513	048-683-8993	http://nanasato-e.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
さいたま市立新和小学校	さいたましりつにいわしょうがっこう	〒339-0027 埼玉県さいたま市岩槻区尾ヶ崎1252	048-798-0003	048-798-8732	http://niiwa-e.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
さいたま市立西原小学校	さいたましりつにしはらしょうがっこう	〒339-0081 埼玉県さいたま市岩槻区西原6-25	048-757-2271	048-758-7489	http://nishihara-e.saitama-city.ed.jp		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
