|名称=	|よみ=	|所在地=	|電話番号=	|FAX=	|URL=	|備考=				
吉川市立中央中学校	よしかわしりつちゅうおうちゅうがっこう	〒342-0055 埼玉県吉川市吉川234-1	048-982-0241	048-982-0236	http://academic3.plala.or.jp/yoshicjh/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]
鶴ヶ島市立富士見中学校	つるがしましりつふじみちゅうがっこう	〒350-2201 埼玉県鶴ヶ島市富士見2-36-1	049-285-9816	049-271-4291	http://academic4.plala.or.jp/fujimi-t/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]
鶴ヶ島市立藤中学校	つるがしましりつふじちゅうがっこう	〒350-2206 埼玉県鶴ヶ島市藤金272-1	049-286-9546	049-271-4290	http://academic4.plala.or.jp/fuji-t/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]
鶴ヶ島市立南中学校	つるがしましりつみなみちゅうがっこう	〒350-2215 埼玉県鶴ヶ島市南町1-27-1	049-286-1491	049-271-4293	http://academic4.plala.or.jp/minami-t/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]
鶴ヶ島市立西中学校	つるがしましりつにしちゅうがっこう	〒350-2222 埼玉県鶴ヶ島市下新田266	049-286-1481	049-271-4292	http://academic4.plala.or.jp/nisi-t/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]
鶴ヶ島市立鶴ヶ島中学校	つるがしましりつつるがしまちゅうがっこう	〒350-2213 埼玉県鶴ヶ島市脚折1868	049-286-0234	049-271-4289	http://academic4.plala.or.jp/turu-t/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]
横瀬町立横瀬中学校	よこぜちょうりつよこぜちゅうがっこう	〒368-0072 埼玉県秩父郡横瀬町横瀬4658	0494-22-0684	0494-23-4510	http://academic4.plala.or.jp/yokocyu/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]
さいたま市立第二東中学校	さいたましりつだいにひがしちゅうがっこう	〒330-0834 埼玉県さいたま市大宮区天沼町1-760	048-643-2133	048-643-3298	http://dainihigashi-j.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]
本庄市立本庄東中学校	ほんじょうしりつほんじょうひがしちゅうがっこう	〒367-0022 埼玉県本庄市日の出4-2-45	0495-22-6318	0495-23-3308	http://edu-honjo.com/higashicyu/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]
さいたま市立八王子中学校	さいたましりつはちおうじちゅうがっこう	〒338-0006 埼玉県さいたま市中央区八王子4-2-1	048-854-8381	048-854-8382	http://hachioji-j.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]
さいたま市立柏陽中学校	さいたましりつはくようちゅうがっこう	〒339-0044 埼玉県さいたま市岩槻区真福寺454	048-798-6655	048-798-8729	http://hakuyou-j.saitama-city.ed.jp		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]
さいたま市立原山中学校	さいたましりつはらやまちゅうがっこう	〒336-0936 埼玉県さいたま市緑区太田窪1-10-22	048-882-3192	048-811-1338	http://harayama-j.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]
さいたま市立春野中学校	さいたましりつはるのちゅうがっこう	〒337-0002 埼玉県さいたま市見沼区春野2-2-1	048-682-3951	048-682-3952	http://haruno-j.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]
さいたま市立春里中学校	さいたましりつはるさとちゅうがっこう	〒337-0005 埼玉県さいたま市見沼区小深作268-19	048-683-3458	048-683-8979	http://harusato-j.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]
さいたま市立東浦和中学校	さいたましりつひがしうらわちゅうがっこう	〒336-0932 埼玉県さいたま市緑区中尾1207-1	048-873-4141	048-810-1126	http://higashiurawa-j.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]
蓮田市立黒浜西中学校	はすだしりつくろはまにしちゅうがっこう	〒349-0101 埼玉県蓮田市黒浜3862	048-768-5454	048-768-5455	http://homepage1.nifty.com/kuronishi/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]
蓮田市立蓮田中学校	はすだしりつはすだちゅうがっこう	〒349-0133 埼玉県蓮田市閏戸147-1	048-768-0064	048-768-0720	http://homepage2.nifty.com/hasudacyu/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]
蓮田市立蓮田南中学校	はすだしりつはすだみなみちゅうがっこう	〒349-0115 埼玉県蓮田市蓮田1519	048-769-2021	048-769-2027	http://homepage2.nifty.com/hasunan/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]
蓮田市立平野中学校	はすだしりつひらのちゅうがっこう	〒349-0135 埼玉県蓮田市井沼932	048-766-9003	048-766-9080	http://homepage2.nifty.com/HIRANO-CHU/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]
蓮田市立黒浜中学校	はすだしりつくろはまちゅうがっこう	〒349-0101 埼玉県蓮田市黒浜4748	048-768-0314	048-768-0726	http://homepage2.nifty.com/kurohamachuugaku/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]
毛呂山町立毛呂山中学校	もろやまちょうりつもろやまちゅうがっこう	〒350-0465 埼玉県入間郡毛呂山町岩井西4-12-1	049-294-0019	049-294-0421	http://homepage2.nifty.com/morojhs/morojhs/index.htm		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]
さいたま市立岩槻中学校	さいたましりついわつきちゅうがっこう	〒339-0054 埼玉県さいたま市岩槻区仲町1-14-35	048-756-0254	048-758-7483	http://iwatsuki-j.saitama-city.ed.jp		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]
さいたま市立慈恩寺中学校	さいたましりつじおんじちゅうがっこう	〒339-0002 埼玉県さいたま市岩槻区裏慈恩寺505	048-794-1141	048-795-0374	http://jionji-j.saitama-city.ed.jp		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]
さいたま市立城北中学校	さいたましりつじょうほくちゅうがっこう	〒339-0074 埼玉県さいたま市岩槻区本宿392-1	048-757-1582	048-758-7494	http://jouhoku-j.saitama-city.ed.jp		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]
さいたま市立城南中学校	さいたましりつじょうなんちゅうがっこう	〒339-0034 埼玉県さいたま市岩槻区笹久保577	048-798-0007	048-798-8725	http://jounan-j.saitama-city.ed.jp		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]
さいたま市立上大久保中学校	さいたましりつかみおおくぼちゅうがっこう	〒338-0824 埼玉県さいたま市桜区上大久保861-1	048-855-3901	048-840-1431	http://kamiokubo-j.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]
越谷市立大袋中学校	こしがやしりつおおぶくろちゅうがっこう	〒343-0034 埼玉県越谷市大竹236	048-975-3830	048-975-3463	http://kashinfu.yp23.net/hp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]
さいたま市立片柳中学校	さいたましりつかたやなぎちゅうがっこう	〒337-0033 埼玉県さいたま市見沼区御蔵551	048-683-3173	048-683-8963	http://katayanagi-j.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]
さいたま市立川通中学校	さいたましりつかわどおりちゅうがっこう	〒339-0011 埼玉県さいたま市岩槻区長宮435	048-799-1061	048-799-0436	http://kawadoori-j.saitama-city.ed.jp		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]
さいたま市立岸中学校	さいたましりつきしちゅうがっこう	〒336-0018 埼玉県さいたま市南区南本町2-25-27	048-822-4022	048-835-1358	http://kishi-j.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]
北本市立北本中学校	きたもとしりつきたもとちゅうがっこう	〒364-0033 埼玉県北本市本町1-1-1	048-591-2057	048-591-2969	http://kita-chu.blogspot.com/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]
さいたま市立木崎中学校	さいたましりつきざきちゅうがっこう	〒330-0044 埼玉県さいたま市浦和区瀬ヶ崎2-17-1	048-886-4302	048-811-1337	http://kizaki-j.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]
熊谷市立大原中学校	くまがやしりつおおはらちゅうがっこう	〒360-0812 埼玉県熊谷市大原3-4-1	048-521-0049	048-521-8428	http://kumagaya-oohara-j.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]
さいたま市立馬宮中学校	さいたましりつまみやちゅうがっこう	〒331-0065 埼玉県さいたま市西区二ツ宮589-1	048-624-0623	048-624-2131	http://mamiya-j.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]
松伏町立松伏第二中学校	まつぶしちょうりつまつぶしだいにちゅうがっこう	〒343-0115 埼玉県北葛飾郡松伏町上赤岩711	048-992-0051	048-992-0052	http://matsubushi.ed.jp/matu2tyu/matsu2chu_HP/Welcome_to_Matsu2chu.html		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]
松伏町立松伏中学校	まつぶしちょうりつまつぶしちゅうがっこう	〒343-0106 埼玉県北葛飾郡松伏町大川戸1136	048-991-3731	048-991-3715	http://matsubushi.ed.jp/matutyu/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]
伊奈町立小針中学校	いなちょうりつこばりちゅうがっこう	〒362-0803 埼玉県北足立郡伊奈町学園2-207	048-722-9321	048-722-4306	http://members.jcom.home.ne.jp/kobari-j/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]
本庄市立本庄南中学校	ほんじょうしりつほんじょうみなみちゅうがっこう	〒367-0043 埼玉県本庄市緑3-13-1	0495-24-1801	0495-23-3310	http://members.my.home.ne.jp/my1564976/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]
熊谷市立妻沼西中学校	くまがやしりつめぬまにしちゅうがっこう	〒360-0203 埼玉県熊谷市弥藤吾2359-2	048-588-1361	048-589-0496	http://menuma-nishi-j.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]
さいたま市立三橋中学校	さいたましりつみはしちゅうがっこう	〒330-0856 埼玉県さいたま市大宮区三橋1-1300	048-641-0793	048-641-6288	http://mihashi-j.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]
さいたま市立三室中学校	さいたましりつみむろちゅうがっこう	〒336-0912 埼玉県さいたま市緑区馬場1-38-2	048-874-2331	048-810-1125	http://mimuro-j.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]
さいたま市立南浦和中学校	さいたましりつみなみうらわちゅうがっこう	〒336-0026 埼玉県さいたま市南区辻6-1-33	048-863-0753	048-836-1589	http://minamiurawa-j.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]
さいたま市立美園中学校	さいたましりつみそのちゅうがっこう	〒336-0974 埼玉県さいたま市緑区大崎2550-3	048-878-0019	048-812-1049	http://misono-j.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]
さいたま市立宮原中学校	さいたましりつみやはらちゅうがっこう	〒331-0812 埼玉県さいたま市北区宮原町4-129	048-663-0961	048-663-9881	http://miyahara-j.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]
さいたま市立宮前中学校	さいたましりつみやまえちゅうがっこう	〒331-0046 埼玉県さいたま市西区宮前町1467-1	048-623-7381	048-624-2133	http://miyamae-j.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]
さいたま市立本太中学校	さいたましりつもとぶとちゅうがっこう	〒330-0072 埼玉県さいたま市浦和区領家1-4-15	048-886-4305	048-811-1339	http://motobuto-j.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]
さいたま市立七里中学校	さいたましりつななさとちゅうがっこう	〒337-0012 埼玉県さいたま市見沼区東宮下1-1-1	048-685-0603	048-685-5101	http://nanasato-j.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]
さいたま市立西原中学校	さいたましりつにしはらちゅうがっこう	〒339-0061 埼玉県さいたま市岩槻区岩槻3750	048-756-1117	048-758-7493	http://nishihara-j.saitama-city.ed.jp		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]
さいたま市立日進中学校	さいたましりつにっしんちゅうがっこう	〒331-0825 埼玉県さいたま市北区櫛引町2-503-1	048-663-1251	048-663-0834	http://nisshin-j.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]
さいたま市立大原中学校	さいたましりつおおはらちゅうがっこう	〒330-0046 埼玉県さいたま市浦和区大原3-1-11	048-831-5397	048-835-1357	http://ohara-j.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]
さいたま市立大久保中学校	さいたましりつおおくぼちゅうがっこう	〒338-0815 埼玉県さいたま市桜区五関282	048-852-3554	048-840-1430	http://okubo-j.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]
さいたま市立尾間木中学校	さいたましりつおまぎちゅうがっこう	〒336-0926 埼玉県さいたま市緑区東浦和4-29-1	048-874-9733	048-810-1127	http://omagi-j.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]
さいたま市立大宮東中学校	さいたましりつおおみやひがしちゅうがっこう	〒330-0804 埼玉県さいたま市大宮区堀の内町1-99	048-641-0808	048-645-1922	http://omiyahigashi-j.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]
さいたま市立大宮北中学校	さいたましりつおおみやきたちゅうがっこう	〒330-0805 埼玉県さいたま市大宮区寿能町1-21	048-641-1214	048-641-5364	http://omiyakita-j.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]
さいたま市立大宮南中学校	さいたましりつおおみやみなみちゅうがっこう	〒330-0834 埼玉県さいたま市大宮区天沼町2-362	048-641-1142	048-641-5356	http://omiyaminami-j.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]
さいたま市立大宮西中学校	さいたましりつおおみやにしちゅうがっこう	〒331-0052 埼玉県さいたま市西区三橋6-1558	048-624-4339	048-624-2132	http://omiyanishi-j.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]
さいたま市立大宮八幡中学校	さいたましりつおおみややはたちゅうがっこう	〒337-0041 埼玉県さいたま市見沼区南中丸357	048-687-8800	048-687-9301	http://omiyayahata-j.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]
さいたま市立大成中学校	さいたましりつおおなりちゅうがっこう	〒330-0852 埼玉県さいたま市大宮区大成町2-379	048-663-1008	048-663-9880	http://onari-j.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]
さいたま市立大砂土中学校	さいたましりつおおさとちゅうがっこう	〒337-0051 埼玉県さいたま市見沼区東大宮1-100-1	048-684-8004	048-684-8966	http://osato-j.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]
さいたま市立大谷場中学校	さいたましりつおおやばちゅうがっこう	〒336-0016 埼玉県さいたま市南区大谷場2-13-54	048-882-9962	048-811-1336	http://oyaba-j.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]
さいたま市立大谷口中学校	さいたましりつおおやぐちちゅうがっこう	〒336-0041 埼玉県さいたま市南区広ヶ谷戸21	048-887-1000	048-811-1335	http://oyaguchi-j.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]
さいたま市立大谷中学校	さいたましりつおおやちゅうがっこう	〒337-0014 埼玉県さいたま市見沼区大谷1634-2	048-685-6982	048-685-5118	http://oya-j.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]
長瀞町立長瀞中学校	ながとろちょうりつながとろちゅうがっこう	〒369-1304 埼玉県秩父郡長瀞町本野上1035-1	0494-66-0027	0494-66-0665	http://park10.wakwak.com/~torojhs/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]
寄居町立寄居中学校	よりいちょうりつよりいちゅうがっこう	〒369-1202 埼玉県大里郡寄居町桜沢2000	048-581-0172	048-581-4199	http://park11.wakwak.com/~yorii-jhs/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]
寄居町立城南中学校	よりいちょうりつじょうなんちゅうがっこう	〒369-1224 埼玉県大里郡寄居町鉢形2222	048-581-0127	048-581-9739	http://park21.wakwak.com/~johnan/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]
寄居町立男衾中学校	よりいちょうりつおぶすまちゅうがっこう	〒369-1216 埼玉県大里郡寄居町富田65	048-582-0032	048-582-0033	http://park8.wakwak.com/~obusumacyugaku/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]
白岡町立白岡中学校	しらおかちょうりつしらおかちゅうがっこう	〒349-0218 埼玉県南埼玉郡白岡町白岡1647-1	0480-93-2771	0480-93-2772	http://ptc6.jrscomware.com/shiraokaj/default.asp		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]
さいたま市立桜木中学校	さいたましりつさくらぎちゅうがっこう	〒330-0854 埼玉県さいたま市大宮区桜木町4-219	048-641-0459	048-645-4584	http://sakuragi-j.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]
さいたま市立桜山中学校	さいたましりつさくらやまちゅうがっこう	〒339-0008 埼玉県さいたま市岩槻区表慈恩寺684-1	048-794-4061	048-795-0379	http://sakurayama-j.saitama-city.ed.jp		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]
さいたま市立指扇中学校	さいたましりつさしおうぎちゅうがっこう	〒331-0048 埼玉県さいたま市西区清河寺185-2	048-624-6234	048-624-2479	http://sashiogi-j.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]
越谷市立中央中学校	こしがやしりつちゅうおうちゅうがっこう	〒343-0014 埼玉県越谷市宮前1-18-1	048-962-9181	048-962-9158	http://school.city.koshigaya.saitama.jp/chuou-j/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]
越谷市立栄進中学校	こしがやしりつえいしんちゅうがっこう	〒343-0025 埼玉県越谷市大沢659-1	048-975-5552	048-975-5641	http://school.city.koshigaya.saitama.jp/eishin-j/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]
越谷市立富士中学校	こしがやしりつふじちゅうがっこう	〒343-0851 埼玉県越谷市七左町2-85	048-966-0319	048-966-0836	http://school.city.koshigaya.saitama.jp/fuji-j/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]
越谷市立東中学校	こしがやしりつひがしちゅうがっこう	〒343-0023 埼玉県越谷市東越谷9-3160	048-962-2367	048-962-2737	http://school.city.koshigaya.saitama.jp/higashi-j/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]
越谷市立平方中学校	こしがやしりつひらかたちゅうがっこう	〒343-0002 埼玉県越谷市平方2115	048-977-3452	048-977-3469	http://school.city.koshigaya.saitama.jp/hirakata-j/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]
越谷市立北陽中学校	こしがやしりつほくようちゅうがっこう	〒343-0004 埼玉県越谷市大松450	048-975-4925	048-975-4658	http://school.city.koshigaya.saitama.jp/hokuyou-j/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]
越谷市立北中学校	こしがやしりつきたちゅうがっこう	〒343-0032 埼玉県越谷市袋山870	048-975-1009	048-975-1487	http://school.city.koshigaya.saitama.jp/kita-j/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]
越谷市立光陽中学校	こしがやしりつこうようちゅうがっこう	〒343-0827 埼玉県越谷市川柳町1-498	048-987-7940	048-987-7943	http://school.city.koshigaya.saitama.jp/kouyou-j/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]
越谷市立武蔵野中学校	こしがやしりつむさしのちゅうがっこう	〒343-0844 埼玉県越谷市大間野町4-357	048-987-9651	048-987-9653	http://school.city.koshigaya.saitama.jp/musashino-j/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]
越谷市立西中学校	こしがやしりつにしちゅうがっこう	〒343-0805 埼玉県越谷市神明町2-385	048-976-5760	048-976-5748	http://school.city.koshigaya.saitama.jp/nishi-j/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]
越谷市立大相模中学校	こしがやしりつおおさがみちゅうがっこう	〒343-0823 埼玉県越谷市相模町3-165	048-987-2111	048-987-2114	http://school.city.koshigaya.saitama.jp/osagami-j/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]
越谷市立千間台中学校	こしがやしりつせんげんだいちゅうがっこう	〒343-0036 埼玉県越谷市三野宮1141	048-977-8779	048-977-8926	http://school.city.koshigaya.saitama.jp/sengendai-j/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]
越谷市立新栄中学校	こしがやしりつしんえいちゅうがっこう	〒343-0008 埼玉県越谷市大吉435	048-976-6616	048-976-6534	http://school.city.koshigaya.saitama.jp/shinnei-j/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]
さいたま市立白幡中学校	さいたましりつしらはたちゅうがっこう	〒336-0022 埼玉県さいたま市南区白幡2-18-13	048-861-3203	048-836-1587	http://shirahata-j.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]
さいたま市立泰平中学校	さいたましりつたいへいちゅうがっこう	〒331-0802 埼玉県さいたま市北区本郷町1991	048-651-4134	048-651-4626	http://taihei-j.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]
さいたま市立田島中学校	さいたましりつたじまちゅうがっこう	〒338-0837 埼玉県さいたま市桜区田島10-13-1	048-864-3451	048-836-1588	http://tajima-j.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]
