|名称=	|よみ=	|所在地=	|電話番号=	|FAX=	|URL=	|備考=				
神奈川県立伊志田高等学校	かながわけんりついしだこうとうがっこう	〒259-1116 神奈川県伊勢原市石田1356-1	0463-93-5613	0463-96-2961	http://www.ishida-h.pen-kanagawa.ed.jp/	(全日制)普通科	[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
神奈川県立伊勢原高等学校	かながわけんりついせはらこうとうがっこう	〒259-1142 神奈川県伊勢原市田中1008-3	(全日制)045-391-0061 / (定時制)045-361-5880 	045-361-9789	http://www.isehara-h.pen-kanagawa.ed.jp/	(全日制)普通科 / (定時制)普通科	[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
神奈川県立磯子工業高等学校	かながわけんりついそごこうぎょうこうとうがっこう	〒235-0023 神奈川県横浜市磯子区森5-24-1	(全日制)045-761-0251 / (定時制)045-761-1451 	045-754-3171	http://www.isogo-th.pen-kanagawa.ed.jp/	(全日制)機械科・電気科・科学科 / (定時制)総合学科	[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
神奈川県立磯子高等学校	かながわけんりついそごこうとうがっこう	〒235-0042 神奈川県横浜市磯子区上中里町444	045-772-0166	045-776-2439	http://www.isogo-h.pen-kanagawa.ed.jp/	(全日制)普通科	[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
神奈川県立荏田高等学校	かながわけんりつえだこうとうがっこう	〒224-0007 神奈川県横浜市都筑区荏田南3-9-1	045-941-3111	045-942-0814	http://www.eda-h.pen-kanagawa.ed.jp/	(全日制)普通科	[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
神奈川県立永谷高等学校	かながわけんりつながやこうとうがっこう	〒233-0016 神奈川県横浜市港南区下永谷1-28-1	045-824-2126	045-825-3605	http://www.nagaya-h.pen-kanagawa.ed.jp/	(全日制)普通科	[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
神奈川県立横須賀工業高等学校	かながわけんりつよこすかこうぎょうこうとうがっこう	〒238-0022 神奈川県横須賀市公郷町4-10	046-851-2122	046-851-5643	http://www.yokosuka-th.pen-kanagawa.ed.jp/	(全日制)機械科・電気科・科学科	[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
神奈川県立横須賀高等学校	かながわけんりつよこすかこうとうがっこう	〒238-0022 神奈川県横須賀市公郷町3-109	(全日制)042-784-1053 / (定時制)042-784-7368	042-784-7960	http://www.yokosuka-h.pen-kanagawa.ed.jp/	(全日制)普通科 / (定時制)普通科	[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
神奈川県立横須賀大津高等学校	かながわけんりつよこすかおおつこうとうがっこう	〒239-0808 神奈川県横須賀市大津町4-17-1	046-836-0281	046-836-8879	http://www.yokosukaotsu-h.pen-kanagawa.ed.jp/	(全日制)普通科	[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
神奈川県立横須賀明光高等学校	かながわけんりつよこすかめいこうこうとうがっこう	〒239-0835 神奈川県横須賀市佐原4-20-1	046-834-5671	046-834-3564	http://www.yokosukameiko-h.pen-kanagawa.ed.jp/	(全日制)国際学科・福祉科	[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
神奈川県立横浜旭陵高等学校	かながわけんりつよこはまきょくりょうこうとうがっこう	〒241-0001 神奈川県横浜市旭区上白根町1161-7	045-953-1004	045-951-3151	http://www.y-kyokuryo-h.pen-kanagawa.ed.jp/	(全日制)普通科	[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
神奈川県立横浜栄高等学校	かながわけんりつよこはまさかえこうとうがっこう	〒247-0013 神奈川県横浜市栄区上郷町555	045-891-5581	045-895-0587	http://www.yokohamasakae-h.pen-kanagawa.ed.jp/	(全日制)普通科	[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
神奈川県立横浜国際高等学校	かながわけんりつよこはまこくさいこうとうがっこう	〒232-0066 神奈川県横浜市南区六ッ川1-731	045-721-1434	045-742-9493	http://www.yokohamakokusai-h.pen-kanagawa.ed.jp/	(全日制)国際情報科	[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
神奈川県立横浜桜陽高等学校	かながわけんりつよこはまおうようこうとうがっこう	〒245-0062 神奈川県横浜市戸塚区汲沢町973	045-862-9343	045-862-6364	http://www.y-oyo-h.pen-kanagawa.ed.jp/	(全日制)普通科	[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
神奈川県立横浜修悠館高等学校	かながわけんりつよこはましゅうゆうかんこうとうがっこう	〒245-0016 神奈川県横浜市泉区和泉町2563	045-800-3711	045-802-3773	http://www.y-shuyukan-h.pen-kanagawa.ed.jp/	(通信制)普通科	[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
神奈川県立横浜翠嵐高等学校	かながわけんりつよこはますいらんこうとうがっこう	〒221-0854 神奈川県横浜市神奈川区三ツ沢南町1-1	(全日制)045-311-4621 / (定時制)045-311-5825 	045-312-9142	http://www.yokohamasuiran-h.pen-kanagawa.ed.jp/	(全日制)普通科 / (定時制)普通科	[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
神奈川県立横浜清陵総合高等学校	かながわけんりつよこはませいりょうそうごうこうとうがっこう	〒232-0007 神奈川県横浜市南区清水ケ丘41	045-242-1926	045-253-6393	http://www.yokohamaseiryosogo-ih.pen-kanagawa.ed.jp/	(全日制)総合学科	[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
神奈川県立横浜南陵高等学校	かながわけんりつよこはまなんりょうこうとうがっこう	〒234-0053 神奈川県横浜市港南区日野中央2-26-1	045-842-3764	045-846-6856	http://www.y-nanryo-h.pen-kanagawa.ed.jp/	(全日制)普通科	[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
神奈川県立横浜平沼高等学校	かながわけんりつよこはまひらぬまこうとうがっこう	〒220-0073 神奈川県横浜市西区岡野1-5-8	045-313-9200	045-311-0519	http://www.yokohamahiranuma-h.pen-kanagawa.ed.jp/	(全日制)普通科	[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
神奈川県立横浜立野高等学校	かながわけんりつよこはまたてのこうとうがっこう	〒234-0054 神奈川県横浜市港南区港南台9-18-1	045-832-6980	045-832-6983	http://www.y-tateno-h.pen-kanagawa.ed.jp/	(全日制)普通科	[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
神奈川県立横浜緑ケ丘高等学校	かながわけんりつよこはまみどりがおかこうとうがっこう	〒231-0832 神奈川県横浜市中区本牧緑ヶ丘37	045-621-8641	045-624-0765	http://www.y-midorigaoka-h.pen-kanagawa.ed.jp/	(全日制)普通科	[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
神奈川県立横浜緑園総合高等学校	かながわけんりつよこはまりょくえんそうごうこうとうがっこう	〒245-0003 神奈川県横浜市泉区岡津町2667	045-812-3371	045-813-1431	http://www.y-ryokuensogo-ih.pen-kanagawa.ed.jp/	(全日制)総合学科	[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
神奈川県立海洋科学高等学校	かながわけんりつかいようかがくこうとうがっこう	〒240-0101 神奈川県横須賀市長坂1-2-1	046-856-3128	046-857-6457	http://www.kaiyokagaku-h.pen-kanagawa.ed.jp/	(全日制)海洋科学科	[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
神奈川県立海老名高等学校	かながわけんりつえびなこうとうがっこう	〒243-0422 神奈川県海老名市中新田1-26-1	046-232-2231	046-231-1762	http://www.ebina-h.pen-kanagawa.ed.jp/	(全日制)普通科	[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
神奈川県立釜利谷高等学校	かながわけんりつかまりやこうとうがっこう	〒236-0042 神奈川県横浜市金沢区釜利谷東4-58-1	045-785-1670	045-786-4188	http://www.kamariya-h.pen-kanagawa.ed.jp/	(全日制)普通科	[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
神奈川県立鎌倉高等学校	かながわけんりつかまくらこうとうがっこう	〒248-0026 神奈川県鎌倉市七里ガ浜2-21-1	0467-32-4851	0467-31-1669	http://www.kamakura-h.pen-kanagawa.ed.jp/	(全日制)普通科	[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
神奈川県立茅ケ崎高等学校	かながわけんりつちがさきこうとうがっこう	〒253-0042 神奈川県茅ヶ崎市本村3-4-1	(全日制)044-344-5821 / (定時制)044-344-6857 	044-344-9140	http://www.chigasaki-h.pen-kanagawa.ed.jp/	(全日制)普通科 / (定時制)普通科	[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
神奈川県立茅ケ崎西浜高等学校	かながわけんりつちがさきにしはまこうとうがっこう	〒253-0061 神奈川県茅ヶ崎市南湖7-12869-11	0467-85-0008	0467-87-7899	http://www.chigasakinishihama-h.pen-kanagawa.ed.jp/	(全日制)普通科	[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
神奈川県立茅ケ崎北陵高等学校	かながわけんりつちがさきほくりょうこうとうがっこう	〒253-0081 神奈川県茅ヶ崎市下寺尾128	0467-51-0311	0467-54-2160	http://www.chigasakihokuryo-h.pen-kanagawa.ed.jp/	(全日制)普通科	[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
神奈川県立寒川高等学校	かながわけんりつさむかわこうとうがっこう	〒253-0111 神奈川県高座郡寒川町一之宮9-30-1	0467-74-2312	0467-74-9012	http://www.samukawa-h.pen-kanagawa.ed.jp/	(全日制)普通科	[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
神奈川県立岸根高等学校	かながわけんりつきしねこうとうがっこう	〒222-0034 神奈川県横浜市港北区岸根町370	045-401-7872	045-402-8406	http://www.kishine-h.pen-kanagawa.ed.jp/	(全日制)普通科	[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
神奈川県立希望ケ丘高等学校	かながわけんりつきぼうがおかこうとうがっこう	〒241-0824 神奈川県横浜市旭区南希望が丘79-1	(全日制)0467-52-2225 / (定時制)0467-54-1922	0467-54-2117	http://www.kibogaoka-h.pen-kanagawa.ed.jp/	(全日制)普通科 / (定時制)普通科	[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
神奈川県立吉田島総合高等学校	かながわけんりつよしだじまそうごうこうとうがっこう	〒258-0021 神奈川県足柄上郡開成町吉田島281	0465-82-0151	0465-82-7684	http://www.yoshidajimasogo-ih.pen-kanagawa.ed.jp/	(全日制)総合学科	[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
神奈川県立橋本高等学校	かながわけんりつはしもとこうとうがっこう	〒252-0143 神奈川県相模原市緑区橋本8-8-1	042-774-0611	042-771-1176	http://www.hashimoto-h.pen-kanagawa.ed.jp/	(全日制)普通科	[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
神奈川県立金井高等学校	かながわけんりつかないこうとうがっこう	〒244-0845 神奈川県横浜市栄区金井町100	045-852-4721	045-852-7748	http://www.kanai-h.pen-kanagawa.ed.jp/	(全日制)普通科	[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
神奈川県立金沢総合高等学校	かながわけんりつかなざわそうごうこうとうがっこう	〒236-0051 神奈川県横浜市金沢区富岡東6-34-1	045-773-6771	045-776-2406	http://www.kanazawasogo-ih.pen-kanagawa.ed.jp/	(全日制)総合学科	[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
神奈川県立元石川高等学校	かながわけんりつもといしかわこうとうがっこう	〒225-0004 神奈川県横浜市青葉区元石川町4116	045-902-2692	045-902-8948	http://www.motoishikawa-h.pen-kanagawa.ed.jp/	(全日制)普通科	[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
神奈川県立光陵高等学校	かながわけんりつこうりょうこうとうがっこう	〒240-0026 神奈川県横浜市保土ヶ谷区権太坂1-7-1	045-712-5577	045-742-9717	http://www.koryo-h.pen-kanagawa.ed.jp/	(全日制)普通科	[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
神奈川県立厚木高等学校	かながわけんりつあつぎこうとうがっこう	〒243-0031 神奈川県厚木市戸室2-24-1	046-221-4078	046-222-8243	http://www.atsugi-h.pen-kanagawa.ed.jp/	(全日制)普通科	[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
神奈川県立厚木商業高等学校	かながわけんりつあつぎしょうぎょうこうとうがっこう	〒243-0817 神奈川県厚木市王子3-1-1	046-223-6669	046-222-8244	http://www.atsugi-ch.pen-kanagawa.ed.jp/	(全日制)商業科・情報処理科・国際経済科	[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
神奈川県立厚木清南高等学校	かながわけんりつあつぎせいなんこうとうがっこう	〒243-0021 神奈川県厚木市岡田1-12-1	(全日制)046-228-2015 / (定時制)046-228-1608 / (通信制)046-228-1612	046-229-2674	http://www.atsugiseinan-h.pen-kanagawa.ed.jp/	(全日制・定時制・通信制)普通科	[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
神奈川県立厚木西高等学校	かながわけんりつあつぎにしこうとうがっこう	〒243-0123 神奈川県厚木市森の里青山12-1	046-248-1705	046-248-7461	http://www.atsuginishi-h.pen-kanagawa.ed.jp/	(全日制)普通科	[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
神奈川県立厚木東高等学校	かながわけんりつあつぎひがしこうとうがっこう	〒243-0817 神奈川県厚木市王子1-1-1	046-221-3158	046-222-8204	http://www.atsugihigashi-h.pen-kanagawa.ed.jp/	(全日制)普通科	[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
神奈川県立厚木北高等学校	かながわけんりつあつぎきたこうとうがっこう	〒243-0203 神奈川県厚木市下荻野886	046-241-8001	046-242-6948	http://www.atsugikita-h.pen-kanagawa.ed.jp/	(全日制)普通科	[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
神奈川県立向の岡工業高等学校	かながわけんりつむかいのおかこうぎょうこうとうがっこう	〒214-0022 神奈川県川崎市多摩区堰1-28-1	(全日制)044-833-5221 / (定時制)044-833-6544	044-812-6556	http://www.mukainooka-th.pen-kanagawa.ed.jp/	(全日制)機械科・電気科・建設科 / (定時制)総合学科	[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
神奈川県立港北高等学校	かながわけんりつこうほくこうとうがっこう	〒222-0037 神奈川県横浜市港北区大倉山7-35-1	045-541-6251	045-545-7871	http://www.kohoku-h.pen-kanagawa.ed.jp/	(全日制)普通科	[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
神奈川県立高浜高等学校	かながわけんりつたかはまこうとうがっこう	〒254-0805 神奈川県平塚市高浜台8-1	0463-21-0417	0463-23-7138	http://www.takahama-h.pen-kanagawa.ed.jp/	(全日制)普通科	[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
神奈川県立座間高等学校	かながわけんりつざまこうとうがっこう	〒252-0024 神奈川県座間市入谷2-262	046-253-2011	046-252-5452	http://www.zama-h.pen-kanagawa.ed.jp/	(全日制)普通科	[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
神奈川県立座間総合高等学校	かながわけんりつざまそうごうこうとうがっこう	〒252-0013 神奈川県座間市栗原2487	046-253-2920	046-252-6020	http://www.zamasogo-ih.pen-kanagawa.ed.jp/index.html	(全日制)総合学科	[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
神奈川県立三浦臨海高等学校	かながわけんりつみうらりんかいこうとうがっこう	〒252-0116 神奈川県三浦市初声町入江274-2	046-889-1771	046-888-3857	http://www.miurarinkai-h.pen-kanagawa.ed.jp/	(全日制)普通科	[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
神奈川県立山北高等学校	かながわけんりつやまきたこうとうがっこう	〒258-0111 神奈川県足柄上郡山北町向原2370	0465-75-0828	0465-75-1770	http://www.yamakita-h.pen-kanagawa.ed.jp/	(全日制)普通科	[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
神奈川県立市ケ尾高等学校	かながわけんりついちがおこうとうがっこう	〒225-0024 神奈川県横浜市青葉区市ヶ尾1854	045-971-2041	045-972-6522	http://www.ichigao-h.pen-kanagawa.ed.jp/	(全日制)普通科	[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
神奈川県立七里ガ浜高等学校	かながわけんりつしちりがはまこうとうがっこう	〒248-0025 神奈川県鎌倉市七里ガ浜東2-3-1	0467-32-5457	0467-32-7202	http://www.shichirigahama-h.pen-kanagawa.ed.jp/	(全日制)普通科	[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
神奈川県立住吉高等学校	かながわけんりつすみよしこうとうがっこう	〒211-0021 神奈川県川崎市中原区木月住吉町34-1	044-433-8555	044-433-8760	http://www.sumiyoshi-h.pen-kanagawa.ed.jp/	(全日制)普通科	[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
神奈川県立商工高等学校	かながわけんりつしょうこうこうとうがっこう	〒240-0035 神奈川県横浜市保土ヶ谷区今井町743	045-353-0591	045-353-1565	http://www.shoko-h.pen-kanagawa.ed.jp/	(全日制)機械科・電気科・化学科・商業科・情報処理科・国際経済科	[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
神奈川県立小田原高等学校	かながわけんりつおだわらこうとうがっこう	〒250-0045 神奈川県小田原市城山3-26-1	(全日制)0465-23-1201 / (定時制)0465-23-1063	0465-23-6144	http://www.odawara-h.pen-kanagawa.ed.jp/	(全日制・定時制)普通科	[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
神奈川県立小田原城北工業高等学校	かながわけんりつおだわらじょうほくこうぎょうこうとうがっこう	〒250-0852 神奈川県小田原市栢山200	(全日制)0465-36-0111 / (定時制)0465-36-0142	0465-37-5425	http://www.odawarajohoku-th.pen-kanagawa.ed.jp/	(全日制)機械科・建設科・電気科・デザイン科 / (定時制)機械科・電気科	[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
神奈川県立小田原総合ビジネス高等学校	かながわけんりつおだわらそうごうびじねすこうとうがっこう	〒250-0003 神奈川県小田原市東町4-12-1	0465-34-2847	0465-35-9038	http://www.odawarasogobiz-h.pen-kanagawa.ed.jp/index.html	(全日制)総合ビジネス科	[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
神奈川県立松陽高等学校	かながわけんりつしょうようこうとうがっこう	〒245-0016 神奈川県横浜市泉区和泉町7713	045-803-3036	045-802-9935	http://www.shoyo-h.pen-kanagawa.ed.jp/	(全日制)普通科	[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
神奈川県立湘南高等学校	かながわけんりつしょうなんこうとうがっこう	〒251-0021 神奈川県藤沢市鵠沼神明5-6-10	(全日制)0466-26-4151 / (定時制)0466-26-8141	0466-28-0020	http://www.shonan-h.pen-kanagawa.ed.jp/	(全日制)普通科 / (定時制)普通科	[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
神奈川県立湘南台高等学校	かながわけんりつしょうなんだいこうとうがっこう	〒252-0805 神奈川県藤沢市円行1986	0466-45-6600	0466-46-0787	http://www.shonandai-h.pen-kanagawa.ed.jp/	(全日制)普通科	[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
神奈川県立上溝高等学校	かながわけんりつかみみぞこうとうがっこう	〒252-0243 神奈川県相模原市中央区上溝6-5-1	042-762-0008	042-762-5873	http://www.kamimizo-h.pen-kanagawa.ed.jp/	(全日制)普通科	[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
神奈川県立上溝南高等学校	かながわけんりつかみみぞみなみこうとうがっこう	〒252-0243 神奈川県相模原市中央区上溝269	042-778-1981	042-778-4057	http://www.kamimizominami-h.pen-kanagawa.ed.jp/	(全日制)普通科	[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
神奈川県立上鶴間高等学校	かながわけんりつかみつるまこうとうがっこう	〒252-0318 神奈川県相模原市南区上鶴間本町9-31-1	042-743-5622	042-743-5803	http://www.kamitsuruma-h.pen-kanagawa.ed.jp/	(全日制)普通科	[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
神奈川県立上矢部高等学校	かながわけんりつかみやべこうとうがっこう	〒245-0053 神奈川県横浜市戸塚区上矢部町3230	045-861-3500	045-862-6347	http://www.kamiyabe-h.pen-kanagawa.ed.jp/	(全日制)普通科	[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
