館名	郵便番号	住所	電話番号	URL	都道府県
釧路市生涯学習センター・釧路市立美術館	085-0836	北海道釧路市幣舞町4-28釧路市生涯学習センター3階	0154-41-8181	http://www.pekita.net/	北海道
釧路市丹頂鶴自然公園	084-0926	北海道釧路市鶴丘112	0154-56-2216		北海道
釧路湿原野生生物保護センター	084-0922	北海道釧路市北斗2－2101	0154-56-2345		北海道
釧路市動物園	085-0202	北海道阿寒町ニニシベツ11	0154-56-2121	http://www.city.kushiro.hokkaido.jp/zoo/index.html	北海道
釧路市立日進小学校学校博物館	085-0835	北海道釧路市浦見2－2－38	0154-41-4231		北海道
釧路市立博物館	085-0822	北海道釧路市春湖台1-7	0154-41-5809		北海道
屈斜路版画工藝館	088-3341	北海道弟子屈町屈斜路420－1	01548-4-2131		北海道
国指定史跡　フゴッペ洞窟	046-0001	北海道余市町栄町87	0135-22-6170		北海道
熊石町歴史記念館	043-0403	北海道八雲町熊石平325-3	01398-2-2200		北海道
蔵元北の錦記念館	069-1521	北海道栗山町錦3-109	0123-72-1001	http://www.kitanonishiki.com/	北海道
栗山町開拓記念館	069-1524	北海道栗山町角田60－4	01237-2-6035		北海道
栗山町泉記念館	069-1524	北海道栗山町角田	01237-2-1111		北海道
黒松内町ブナセンター	048-0101	北海道黒松内町黒松内512－1	0136-72-4411	http://www.host.or.jp/user/bunacent/	北海道
グリュック王国  グリムの街・村	089-1244	北海道帯広市幸福町	0155-64-5300		北海道
剣淵町資料館	098-0300	北海道剣淵町1811－25	016534-2235		北海道
交通記念館	089-2627	北海道広尾町丸山通北2	01558-2-2111		北海道
港文館	085-0847	北海道釧路市大町2－1－12	0154-42-5584		北海道
琴似屯田兵屋	063-0811	北海道札幌市西区琴似一条7琴似神社境内	011-621-5544		北海道
コレクション館（フレームギャラリー４５）	070-0030	北海道旭川市宮下通り11右7蔵囲夢内	0166-23-3000		北海道
これでも美術館	099-4405	北海道清里町羽衣町8	01522-5-2512		北海道
五稜郭タワー	040-0001	北海道函館市五稜郭町43-9	0138-51-4785	http://www.goryokaku-tower.co.jp	北海道
猿払村農業資料館	098-6222	北海道猿払村浜鬼志別猿払村役場内	01635-2-3131		北海道
坂本九思い出記念館	068-0352	北海道栗山町大井分108－6	01237-6-3939		北海道
中札内美術村　坂本直行記念館	089-1366	北海道中札内村栄東五線	0155-68-3003		北海道
札幌ウィンタースポーツミュージアム	064-0958	北海道札幌市中央区宮の森1274	011-631-2000	http://okura.sapporo-dc.co.jp/museum/index.html	北海道
札幌学院大学考古学資料展示室	069-8555	北海道江別市文京台11	011-386-8111		北海道
札幌芸術の森美術館	005-0864	北海道札幌市南区芸術の森2-75	011-591-0090	http://www.mocas.jp/	北海道
札幌国際大学博物館	004-0844	北海道札幌市清田区清田四条1－4－1	011-881-8844		北海道
札幌市清掃部資料室	004-0003	北海道札幌市厚別区厚別東三条1－1－1	011-897-1751		北海道
札幌市資料館	060-0042	北海道札幌市中央区大通西13	011-251-0731	http://www.s-shiryokan.jp/	北海道
札幌市緑化植物園緑のセンター	062-0905	北海道札幌市豊平区豊平五条13	011-811-9370		北海道
札幌市手稲記念館	063-0062	北海道札幌市西区西町南21－3－10	011-661-1017		北海道
札幌市埋蔵文化財センター	064-0922	北海道札幌市中央区南二十二条西13	011-512-5430		北海道
札幌市円山動物園	064-0959	北海道札幌市中央区宮ケ丘3－1	011-621-1426	http://www.city.sapporo.jp/zoo/	北海道
札幌市下水道科学館	001-0045	北海道札幌市北区麻生町8	011-717-0046	http://www.sapporo-src.com/kagakukan/	北海道
札幌市写真ライブラリー	060-0032	北海道札幌市中央区北二条東4サッポロファクトリーレンガ館3F	011-207-4444		北海道
札幌市水道記念館	064-0942	北海道札幌市中央区伏見4-6-17	011-561-8928	http://www.city.sapporo.jp/suido/c01/c01third/08_04.html	北海道
札幌市青少年科学館	004-0051	北海道札幌市厚別区厚別中央1条5丁目2-20	011-892-5001	http://www.ssc.slp.or.jp/	北海道
札幌市天文台	064-0931	北海道札幌市中央区中島公園1-7	011-511-9624	http://www.ssc.slp.or.jp/planet/index.html	北海道
札幌市豊平川さけ科学館	005-0017	北海道札幌市南区真駒内公園2-1	011-582-7555	http://www.sapporo-park.or.jp/sake/	北海道
札幌市博物館活動センター	060-0001	北海道札幌市中央区北1条西9丁目リンケージプラザ5階	011-200-5002	http://www.city.sapporo.jp/museum	北海道
札幌市民ギャラリー	060-0052	北海道札幌市中央区南2条東6丁目	011-271-5471		北海道
札幌大学埋蔵文化財展示室	062-8520	北海道札幌市豊平区西岡三条7－3－1札幌大学内	011-852-1181		北海道
札幌彫刻美術館	064-0954	北海道札幌市中央区宮の森四条12	011-642-5709	http://www.hongoshin-smos.jp/	北海道
サッポロビール博物館	065-8633	北海道札幌市東区北七条東9	011-731-4368	http://www.sapporobeer.jp/brewery/s_museum/index.html	北海道
札幌村郷土記念館	065-0013	北海道札幌市東区北十三条東16	011-782-2294		北海道
札幌焼民芸館	007-0810	北海道札幌市東区東苗穂十条3-640-22	011-791-1118		北海道
さっぽろ雪まつり資料館	062-0045	北海道札幌市豊平区羊ヶ丘1羊ケ丘展望台内	011-851-3080	http://www.hitsujigaoka.jp/amusements/yukimatsuri.html	北海道
札幌歴史館	060-0001	北海道札幌市中央区北一条西2	011-231-0838		北海道
様似郷土館	058-0024	北海道様似町会所町1	01463-6-3335		北海道
沙流川歴史館	055-0101	北海道平取町二風谷227－2	01457-2-4085		北海道
猿払村日ソ友好記念館	098-6222	北海道猿払村浜鬼志別	01635-2-3131		北海道
サンピアザ水族館	004-0052	北海道札幌市厚別区厚別中央2条5丁目7-5	011-890-2455	http://www.sunpiazza-aquarium.com/	北海道
財団法人　アイヌ民族博物館	059-0902	北海道白老町若草町2-3-4	0144-82-4199	http://www.ainu-museum.or.jp	北海道
財団法人日本野鳥の会　ウトナイ湖サンクチュアリ・ネイチャーセンター	059-1365	北海道苫小牧市植苗150-3	0144-58-2505	http://www.wbsj.org/sanctuary/011/	北海道
占冠村総合センター郷土資料展示所	079-2201	北海道占冠村中央	0167-56-2121		北海道
紫雲台宝林寺孝子堂宝物館	061-1423	北海道恵庭市柏木町435	0123-32-3438		北海道
塩狩峠記念館　三浦綾子旧宅	098-0125	北海道和寒町543	0165-32-4088	http://www.town.wassamu.hokkaido.jp/	北海道
潮見が丘ミュージアム	040-0044	北海道函館市青柳町9－23	0138-27-4500		北海道
鹿追町コミュニティセンター  郷土資料室	081-0222	北海道鹿追町東町1－27	01566-6-2311		北海道
支笏湖ビジターセンター	066-0000	北海道千歳市支笏湖畔	0123-25-2453		北海道
静内町アイヌ民俗資料館	056-0011	北海道静内町真歌7－1	01464-3-3094		北海道
静内町郷土館	056-0014	北海道静内町古川町1－1－1	01464-2-0394		北海道
史跡北斗遺跡展示館	084-0922	北海道釧路市北斗4－1	0154-56-2677		北海道
自然ふれあい交流館	069-0832	北海道江別市西野幌685-1北海道立野幌森林公園内	011-386-5832	http://www.kaitaku.or.jp/nfpvc.htm	北海道
標茶町郷土館	088-2264	北海道標茶町塘路56	01548-7-2332		北海道
標津サーモン科学館	086-1631	北海道標津町北1条西6丁目1-1-1標津サーモンパーク内	01538-2-1141	http://www.shibetsu-salmon.org	北海道
士別市世界のめん羊館	095-0056	北海道士別市西士別町5351	01652-3-1582		北海道
士別市立博物館	095-0056	北海道士別市西士別町2554	01652-2-3320		北海道
標津町歴史民俗資料館	086-1602	北海道標津町伊茶仁2784	01538-2-3674		北海道
清水町郷土史料館	089-0112	北海道清水町南四条1	01566-2-3030		北海道
下川町ふるさと交流館	098-1205	北海道下川町西町1046	01655-4-2627		北海道
斜里町立知床博物館	099-4113	北海道斜里町本町49-2	01522-3-1256	http://shir-etok.myftp.org/	北海道
昭和新山植物園	052-0101	北海道壮瞥町滝之町183	01427-5-2576		北海道
初山別村簡易郷土資料館	078-4421	北海道初山別村初山別	01646-7-2136		北海道
白糠町公民館郷土資料室	088-0303	北海道白糠町東三条南1－1－21	01547-2-2287		北海道
白滝村郷土館	099-0111	北海道遠野町白滝中央区	01584-8-2766		北海道
白糠石炭資料室	088-0573	北海道白糠町西庶路東一条北1－4－22西庶路コミュニティーセンター内	01547-5-3631		北海道
知内町郷土資料館	049-1103	北海道知内町重内31-47	01392-5-5066	http://www.d1.dion.ne.jp/~hougen/	北海道
市立小樽美術館	047-0031	北海道小樽市色内1－9－5	0134-34-0035	http://www6.ocn.ne.jp/~otarubij/	北海道
市立小樽文学館	047-0031	北海道小樽市色内1－9－5	0134-32-2388	http://www4.ocn.ne.jp/~otarubun/	北海道
市立函館図書館・啄木文庫	040-0044	北海道函館市青柳町17－2	0138-22-7447		北海道
市立函館博物館	040-0044	北海道函館市青柳町17－1	0138-23-5480	http://www.city.hakodate.hokkaido.jp/board_of_edu/lifelong_learning/museum/index.html	北海道
市立函館博物館郷土資料館（旧金森洋物店）	040-0053	北海道函館市末広町19－15	0138-23-3095	http://www.hakobura.jp/contents/hk00123	北海道
市立室蘭水族館	051-0036	北海道室蘭市祝津町3-3-12	0143-27-1638		北海道
資料館・プラスターモデルハウス	070-0901	北海道旭川市花咲町1旭川地方左官工業共同組合内	0166-53-2300		北海道
北方少数民族資料ジャッカドフニ	093-0045	北海道網走市大曲2－96	0152-43-1149		北海道
知床国立公園・羅臼ビジターセンター	086-1822	北海道羅臼町湯の沢388	01538-7-2828		北海道
白石区民センター郷土資料コーナー	003-0000	北海道札幌市白石区本郷通3北1－1	011-861-2400		北海道
新篠津村自治センター郷土資料室	068-1100	北海道新篠津村第46線北12	0126-57-2011		北海道
新琴似屯田兵中隊本部	001-0908	北海道札幌市北区新琴似八条3	011-211-5364		北海道
新星館	071-0473	北海道美瑛町新星の丘	0166-95-2888		北海道
新十津川町開拓記念館	073-1103	北海道新十津川町中央1	0125-76-2622	http://www.town.shintotsukawa.lg.jp/05_kyouiku/bunkasinko/kaitakukinenkan.jsp	北海道
新十津川物語記念館	073-1106	北海道新十津川町総進188-6ふるさと公園内	0125-76-2995	http://www.town.shintotsukawa.lg.jp/03_sangyo/syoukoukankou/kanko/kankosisetu/monogatari.jsp	北海道
森林の家	069-0832	北海道江別市西野幌  登満別	011-385-3397		北海道
ＪＡ士幌町農協記念館	080-1200	北海道士幌町士幌225－20	01564-5-3511		北海道
定山渓ダム下流開発資料館	061-2301	北海道札幌市南区定山渓	011-598-4095		北海道
定山溪郷土博物館	061-2302	北海道札幌市南区定山溪温泉東4－308札幌市立定山溪小学校内	011-598-2609		北海道
スウェーデン交流センター	061-0200	北海道当別町スウェーデンヒルズビレッジ2－3－1	01332-6-2360		北海道
砂川市郷土資料室	073-0168	北海道砂川市西八条北3－1砂川市公民館3F	0125-52-2339		北海道
清華亭	060-0807	北海道札幌市北区北七条西7	011-746-1088		北海道
青函連絡船メモリアルシップ摩周丸	040-0063	北海道函館市若松町11－26	0138-27-2500		北海道
関寛斎資料館	089-4315	北海道陸別町大通オーロラタウン93	01562-7-2141		北海道
石炭の歴史村・夕張市石炭博物館	068-0401	北海道夕張市高松7-1	0123-52-1544		北海道
石炭博物館	068-0401	北海道夕張市高松7-1ゆうばり石炭の歴史村内	01235-2-1544		北海道
瀬棚郷土館	049-4805	北海道せたな町瀬棚区本町(5区)628	01378-7-3205		北海道
仙台藩白老元陣屋資料館	059-0912	北海道白老町陣屋町681	0144-85-2666		北海道
壮瞥町郷土史料館・横綱北の湖記念館	052-0101	北海道壮瞥町滝之町294-2	0142-66-2201		北海道
大成郷土館	043-0504	北海道せたな町大成区都386大成町立図書館内	01398-4-6161		北海道
太平洋炭鉱資料館	085-0805	北海道釧路市桜ヶ岡3－1－16	0154-91-6725		北海道
鷹栖町郷土資料館	071-1250	北海道鷹栖町南1条1－1－19	0166-87-3028		北海道
滝川市郷土館	073-0033	北海道滝川市新町3-8-20	0125-22-4811		北海道
滝川市航空動態博物館（たきかわスカイミュージアム）	073-0035	北海道滝川市中島町139-4たきかわスカイパーク内	0125-24-3255	http://www3.ocn.ne.jp/~skypark	北海道
滝川市こども科学館	073-0033	北海道滝川市新町2-6-1	0125-22-6690		北海道
滝川市美術自然史館	073-0033	北海道滝川市新町2-5-30	0125-23-0502		北海道
滝上町郷土館	099-5604	北海道滝上町元町	015829-3499		北海道
舘井啓明記念アトリエ美術館	041-1355	北海道七飯町西大沼35	0138-67-2948		北海道
炭礦と鉄道館・雄鶴駅	085-0245	北海道阿寒町上阿寒自然休養村内	0154-66-3810		北海道
端野町立歴史民俗資料館	099-2102	北海道端野町二区469	0157-56-2560		北海道
