Prefecture,City,District,Name,Population,Capacity,Updated,Notes,Source,LatLng,Color
埼玉県,戸田市,,白寿荘（軽費老人ホーム）,24,30,4月12日 11:00,,埼玉県HP,,measle_turquoise
埼玉県,所沢市,,老人憩いの家とみおか荘,24,55,4月12日 11:00,,埼玉県HP,,measle_turquoise
埼玉県,新座市,,老人福祉センター,9,60,4月12日 11:00,,埼玉県HP,,measle_turquoise
埼玉県,春日部市,,大池憩いの家（高齢者福祉施設）,14,84,4月12日 11:00,,埼玉県HP,,measle_turquoise
埼玉県,比企郡鳩山町,,宇宙航空研究開発機構　旧宿舎,8,192,4月12日 11:00,,埼玉県HP,,measle_turquoise
埼玉県,比企郡鳩山町,,日立製作所基礎研究所鳩山ハウス,22,120,4月12日 11:00,,埼玉県HP,,measle_turquoise
埼玉県,深谷市,,高齢者福祉青少年活動複合施設もくせい館,48,100,4月12日 11:00,,,,measle_turquoise
埼玉県,熊谷市,原島３１５,旧熊谷市立女子高校,100,,4月1日 15:36,福島県双葉町市民,日経新聞 20110401,"36.171268,139.367156",measle_turquoise
埼玉県,秩父市,,秩父ミューズパークスポーツの森コテージ,24,200,4月12日 11:00,,埼玉県HP,,measle_turquoise
埼玉県,羽生市,,農村センター（集会所）,2,40,4月12日 11:00,,埼玉県HP,,measle_turquoise
埼玉県,草加市,,旧花栗小学校,14,150,4月12日 11:00,,埼玉県HP,,measle_turquoise
埼玉県,蓮田市,,老人福祉センター,18,30,4月12日 11:00,,埼玉県HP,,measle_turquoise
埼玉県,蕨市,,交流プラザさくら,14,50,4月12日 11:00,,埼玉県HP,,measle_turquoise
埼玉県,行田市,,老人福祉センター南河原荘,4,30,4月12日 11:00,,,,measle_turquoise
埼玉県,鴻巣市,,川里創作館（公民館）,2,35,4月12日 11:00,,埼玉県HP,,measle_turquoise
埼玉県,鶴ヶ島市,,老人福祉センター（逆木荘）,8,70,4月12日 11:00,,埼玉県HP,,measle_turquoise
宮城県,亘理郡亘理町,,亘理中学校,297,,4月16日 19:00,,"亘理町公式ホームページ
http://www.town.watari.miyagi.jp/index.cfm/22,16228,html","38.030449,140.842911",measle_blue
宮城県,亘理郡亘理町,,吉田小学校,193,700,4月16日 19:00,,"亘理町公式ホームページ
http://www.town.watari.miyagi.jp/index.cfm/22,16228,html","38.013794,140.857681",measle_turquoise
宮城県,亘理郡亘理町,,逢隈小学校,254,,4月16日 19:00,,"亘理町公式ホームページ
http://www.town.watari.miyagi.jp/index.cfm/22,16228,html","38.073231,140.865906",measle_blue
宮城県,亘理郡亘理町,亘理郡亘理町,亘理高校,509,,4月16日 19:00,,"亘理町公式ホームページ
http://www.town.watari.miyagi.jp/index.cfm/22,16228,html","38.032932,140.849075",measle_blue
宮城県,亘理郡亘理町,字下小路22-2,亘理小学校,297,,4月16日 19:00,,"亘理町公式ホームページ
http://www.town.watari.miyagi.jp/index.cfm/22,16228,html","38.036522,140.853424",measle_blue
宮城県,亘理郡山元町,坂元,坂元中,230,,4月17日 18:00,,"山元町公式ホームページより
http://www.town.yamamoto.miyagi.jp/jishin/oojishin.html","37.921959,140.904373",measle_blue
宮城県,亘理郡山元町,坂元,坂元支所,120,,4月17日 18:00,,"山元町公式ホームページより
http://www.town.yamamoto.miyagi.jp/jishin/oojishin.html","37.920357,140.894806",measle_turquoise
宮城県,亘理郡山元町,大平字握６,山下第一小学校,200,,4月17日 18:00,,宮城県ホームページより,"37.991768,140.866806",measle_blue
宮城県,亘理郡山元町,山寺字畑中２９,山下中学校,450,,4月17日 18:00,灯油などの燃料や毛布等が不足していると思われます。ＴＥＬ223370032,"山元町公式ホームページより
http://www.town.yamamoto.miyagi.jp/jishin/oojishin.html",,measle_blue
宮城県,亘理郡山元町,浅生原字作田山３２,山元町役場・中央公民館,650,,4月17日 18:00,,"山元町公式ホームページより
http://www.town.yamamoto.miyagi.jp/jishin/oojishin.html","37.962402,140.877472",measle_blue
宮城県,亘理郡山元町,真庭,真庭区民会館,130,,4月17日 18:00,,"山元町公式ホームページより
http://www.town.yamamoto.miyagi.jp/jishin/oojishin.html","37.930454,140.882980",measle_turquoise
宮城県,仙台市太白区,,富沢市民センター,64,,4月15日 0:00,,http://www.city.sendai.jp/soumu/kouhou/bousai/0311jishin/hinanjyo.pdf 4/18 情報,"38.213345,140.865997",measle_turquoise
宮城県,仙台市太白区,八木山本町１丁目４３,八木山市民センター,21,,4月15日 0:00,,http://www.city.sendai.jp/soumu/kouhou/bousai/0311jishin/hinanjyo.pdf 4/18 情報,"38.244984,140.843381",measle_turquoise
宮城県,仙台市太白区,緑ヶ丘三丁目9番19号,緑ヶ丘コミセン,5,,4月15日 0:00,,http://www.city.sendai.jp/soumu/kouhou/bousai/0311jishin/hinanjyo.pdf 4/18 情報,"38.233276,140.865341",measle_turquoise
宮城県,仙台市宮城野区,,福室市民センター,99,,4月15日 0:00,,http://www.city.sendai.jp/soumu/kouhou/bousai/0311jishin/hinanjyo.pdf 4/18 情報,"38.279205,140.971252",measle_turquoise
宮城県,仙台市宮城野区,岡田字北在家67,岡田小学校,266,,4月15日 9:00,,http://www.city.sendai.jp/soumu/kouhou/bousai/0311jishin/hinanjyo.pdf 4/18 情報,"38.256645,140.978404",measle_blue
宮城県,仙台市宮城野区,田子2丁目4番25号,田子市民センター,113,,4月15日 9:00,,"仙台市公式フェブサイト
http://www.city.sendai.jp/311jishin/index.html","38.279586,140.960546",measle_turquoise
宮城県,仙台市宮城野区,高砂一丁目24番地の9,高砂市民センター,163,,4月15日 9:00,,http://www.city.sendai.jp/soumu/kouhou/bousai/0311jishin/hinanjyo.pdf 4/18 情報,"38.270521,140.974015",measle_turquoise
宮城県,仙台市泉区,七北田字赤生津４,七北田公園体育館,54,,4月15日 9:00,,http://www.city.sendai.jp/soumu/kouhou/bousai/0311jishin/hinanjyo.pdf 4/18 情報,"38.320306,140.878563",measle_turquoise
宮城県,仙台市若林区,,六郷市民センター,107,,4月15日 9:00,,http://www.city.sendai.jp/soumu/kouhou/bousai/0311jishin/hinanjyo.pdf 4/18 情報,"38.214859,140.927322",measle_turquoise
宮城県,仙台市若林区,一本杉町17-10,南小泉小学校,28,,4月15日 9:00,,http://www.city.sendai.jp/soumu/kouhou/bousai/0311jishin/hinanjyo.pdf 4/18 情報,"38.244416,140.905473",measle_turquoise
宮城県,仙台市若林区,一本杉町2－1.,南小泉中学校,26,,4月15日 9:00,,http://www.city.sendai.jp/soumu/kouhou/bousai/0311jishin/hinanjyo.pdf 4/18 情報,"38.243919,140.904923",measle_turquoise
宮城県,仙台市若林区,今泉１丁目２０−５４,JA六郷,75,,4月15日 9:00,,http://www.city.sendai.jp/soumu/kouhou/bousai/0311jishin/hinanjyo.pdf 4/18 情報,"38.212668,140.933136",measle_turquoise
宮城県,仙台市若林区,六郷１３,六郷中学校,375,,4月15日 9:00,,http://www.city.sendai.jp/soumu/kouhou/bousai/0311jishin/hinanjyo.pdf 4/18 情報,"38.213386,140.934048",measle_blue
宮城県,仙台市若林区,卸町東二丁目8番10号,若林体育館,300,,4月15日 9:00,,http://www.city.sendai.jp/soumu/kouhou/bousai/0311jishin/hinanjyo.pdf 4/18 情報,"38.257993,140.947915",measle_blue
宮城県,仙台市若林区,堀添65番地の5,七郷市民センター,29,,4月15日 9:00,,http://www.city.sendai.jp/soumu/kouhou/bousai/0311jishin/hinanjyo.pdf 4/18 情報,"38.242570,140.941009",measle_turquoise
宮城県,仙台市若林区,沖野二丁目 29-50,沖野中学校,10,,4月15日 9:00,,http://www.city.sendai.jp/soumu/kouhou/bousai/0311jishin/hinanjyo.pdf 4/18 情報,"38.228538,140.915345",measle_turquoise
宮城県,仙台市若林区,若林区かすみ町,かすみ町中部町内会集会所,7,,4月15日 9:00,,http://www.city.sendai.jp/soumu/kouhou/bousai/0311jishin/hinanjyo.pdf 4/18 情報,"38.234236,140.899843",measle_turquoise
宮城県,仙台市若林区,荒井字堀添53-2.,七郷小学校,94,,4月15日 9:00,,http://www.city.sendai.jp/soumu/kouhou/bousai/0311jishin/hinanjyo.pdf 4/18 情報,"38.241045,140.942467",measle_turquoise
宮城県,仙台市若林区,荒井字遠藤9-3,七郷中学校,31,,4月15日 9:00,,http://www.city.sendai.jp/soumu/kouhou/bousai/0311jishin/hinanjyo.pdf 4/18 情報,"38.237348,140.945970",measle_turquoise
宮城県,仙台市若林区,荒町86-2,荒町市民センター,34,,4月15日 9:00,,http://www.city.sendai.jp/soumu/kouhou/bousai/0311jishin/hinanjyo.pdf 4/18 情報,"38.249059,140.881889",measle_turquoise
宮城県,仙台市若林区,蒲町32番18号),蒲町コミセン,26,,4月15日 9:00,,http://www.city.sendai.jp/soumu/kouhou/bousai/0311jishin/hinanjyo.pdf 4/18 情報,"38.243309,140.925121",measle_turquoise
宮城県,仙台市若林区,遠見塚1丁目22-1,遠見塚小学校,11,,4月15日 9:00,,http://www.city.sendai.jp/soumu/kouhou/bousai/0311jishin/hinanjyo.pdf 4/18 情報,"38.238061,140.912603",measle_turquoise
宮城県,仙台市青葉区,堤町一丁目1番5号,青葉体育館,22,,4月15日 9:00,,http://www.city.sendai.jp/soumu/kouhou/bousai/0311jishin/hinanjyo.pdf 4/18 情報,"38.281722,140.870769",measle_turquoise
宮城県,仙台市青葉区,大町２丁目１２−１,戦災復興記念館,4,,4月15日 9:00,,http://www.city.sendai.jp/soumu/kouhou/bousai/0311jishin/hinanjyo.pdf 4/18 情報,"38.260888,140.866990",measle_turquoise
宮城県,仙台市青葉区,折立３丁目２０−１,折立市民センター,9,,4月15日 9:00,,http://www.city.sendai.jp/soumu/kouhou/bousai/0311jishin/hinanjyo.pdf 4/18 情報,"38.262808,140.808992",measle_turquoise
宮城県,仙台市青葉区,福沢町9-9,福沢市民センター,15,,4月15日 9:00,,http://www.city.sendai.jp/soumu/kouhou/bousai/0311jishin/hinanjyo.pdf 4/18 情報,"38.274240,140.888929",measle_turquoise
宮城県,仙台市青葉区,高野原2丁目5,高野原集会所,20,,4月15日 9:00,,http://www.city.sendai.jp/soumu/kouhou/bousai/0311jishin/hinanjyo.pdf 4/18 情報,"38.289834,140.765022",measle_turquoise
宮城県,伊具郡丸森町,字鳥屋一20,丸森まちづくりセンター,2,270,3月29日 12:00,,宮城県ホームページより,"37.913637,140.764445",measle_turquoise
宮城県,刈田郡蔵王町,円田,円田地区公民館,26,50,3月19日 21:00,,宮城県 市町村別避難所・避難者リスト,"38.104195,140.680075",measle_turquoise
宮城県,刈田郡蔵王町,大字円田字西浦５,蔵王町ふるさと文化会館（ございんホール）,3,,3月19日 21:00,,宮城県 市町村別避難所・避難者リスト,"38.097475,140.656916",measle_turquoise
宮城県,刈田郡蔵王町,小村崎,小村崎公民館,11,40,3月19日 21:00,,宮城県 市町村別避難所・避難者リストから,"38.128945,140.688814",measle_turquoise
宮城県,加美郡加美町,,中新田交流センター,51,,4月15日 15:00,,http://www.town.kami.miyagi.jp/tohokudaisinsai_kami/hinanjo.jsp 4/18,,measle_turquoise
宮城県,名取市,下増田字土手北１０１,下増田小学校,46,,4月17日 0:00,,"名取市公式Webサイトより
http://www.city.natori.miyagi.jp/jisin/node_10772/node_10855",,measle_turquoise
宮城県,名取市,名取が丘３丁目５?３,名取が丘公民館,15,180,4月17日 0:00,,"名取市公式Webサイトより
http://www.city.natori.miyagi.jp/jisin/node_10772/node_10855","38.155762,140.875000",measle_turquoise
宮城県,名取市,増田字柳田２３０,増田中学校,80,1000,4月17日 0:00,,"名取市公式Webサイトより
http://www.city.natori.miyagi.jp/jisin/node_10772/node_10855","38.169582,140.894547",measle_turquoise
宮城県,名取市,増田字柳田２４４,保健センター,9,,4月17日 0:00,,"名取市公式Webサイトより
http://www.city.natori.miyagi.jp/jisin/node_10772/node_10855","38.170010,140.892700",measle_turquoise
宮城県,名取市,増田字柳田６２０,文化会館,387,1200,4月17日 0:00,,"名取市公式Webサイトより
http://www.city.natori.miyagi.jp/jisin/node_10772/node_10855","38.168221,140.891342",measle_blue
宮城県,名取市,増田３丁目９?２０,増田小学校,58,1000,4月17日 0:00,,"名取市公式Webサイトより
http://www.city.natori.miyagi.jp/jisin/node_10772/node_10855","38.171764,140.888580",measle_turquoise
宮城県,名取市,小山1丁目８?１,名取第一中学校,154,1000,4月17日 0:00,,"名取市公式Webサイトより
http://www.city.natori.miyagi.jp/jisin/node_10772/node_10855","38.163387,140.880798",measle_turquoise
宮城県,名取市,手倉田堰堤２３５?１,増田西公民館,2,180,4月17日 0:00,,"名取市公式Webサイトより
http://www.city.natori.miyagi.jp/jisin/node_10772/node_10855","38.173534,140.872192",measle_turquoise
宮城県,名取市,手倉田字堰堤３３０,増田西小学校,90,1000,4月17日 0:00,,"名取市公式Webサイトより
http://www.city.natori.miyagi.jp/jisin/node_10772/node_10855","38.172825,140.870987",measle_turquoise
宮城県,名取市,植松1丁目２?１７,館腰小学校,185,1200,4月17日 0:00,,"名取市公式Webサイトより
http://www.city.natori.miyagi.jp/jisin/node_10772/node_10855","38.151463,140.882111",measle_turquoise
宮城県,名取市,高舘吉田字長六反１１７−３,高舘小学校,126,1000,4月17日 0:00,,"名取市公式Webサイトより
http://www.city.natori.miyagi.jp/jisin/node_10772/node_10855",,measle_turquoise
宮城県,名取市,高舘百田字吉合９０,名取第二中学校,134,1000,4月17日 0:00,,"名取市公式Webサイトより
http://www.city.natori.miyagi.jp/jisin/node_10772/node_10855","38.179775,140.865891",measle_turquoise
宮城県,塩竈市,今宮町,塩竈ガス体育館,105,,4月15日 10:00,,"塩竃市公式ホームページ　災害情報より
http://www.city.shiogama.miyagi.jp/html/emergency/bousai/bousaikunren/shiogama-saigai.html#sa2","38.328286,141.012240",measle_turquoise
宮城県,塩竈市,東玉川町,塩竈市公民館,97,,4月15日 10:00,,"塩竃市公式ホームページ　災害情報より
http://www.city.shiogama.miyagi.jp/html/emergency/bousai/bousaikunren/shiogama-saigai.html#sa2","38.310198,141.011059",measle_turquoise
宮城県,塩竈市,浦戸寒風沢字中月21,旧浦戸第一小学校,87,,4月15日 10:00,,"塩竃市公式ホームページ　災害情報より
http://www.city.shiogama.miyagi.jp/html/emergency/bousai/bousaikunren/shiogama-saigai.html#sa2","38.334183,141.119274",measle_turquoise
宮城県,塩竈市,浦戸野々島字馬越8,塩竈市立浦戸中学校,68,,4月15日 10:00,,"塩竃市公式ホームページ　災害情報より
http://www.city.shiogama.miyagi.jp/html/emergency/bousai/bousaikunren/shiogama-saigai.html#sa2","38.339499,141.116532",measle_turquoise
宮城県,塩竈市,浦戸野々島字馬越8,旧浦戸第二小学校,170,,4月15日 10:00,,"塩竃市公式ホームページ　災害情報より
http://www.city.shiogama.miyagi.jp/html/emergency/bousai/bousaikunren/shiogama-saigai.html#sa2","38.339499,141.116532",measle_turquoise
宮城県,塩竈市,浦戸野々島朴島宅地,朴島,11,,4月15日 10:00,,"塩竃市公式ホームページ　災害情報より
http://www.city.shiogama.miyagi.jp/html/emergency/bousai/bousaikunren/shiogama-saigai.html#sa2","38.349407,141.124041",measle_turquoise
宮城県,多賀城市,下馬5-9-3,総合体育館,440,,4月17日 21:00,,宮城県 市町村別避難所・避難者リスト,"38.299599,141.015884",measle_blue
宮城県,多賀城市,中央2-27-1,文化センター,449,,4月17日 21:00,乳児・高齢者多数,多賀城市ホームページより,"38.295406,141.005020",measle_blue
宮城県,多賀城市,中央二丁目25-5,史遊館,27,,4月17日 21:00,,http://www.city.tagajo.miyagi.jp/saigai/hisaizyouhou.html#hinansyasuu,,measle_turquoise
宮城県,多賀城市,南宮字毛上28,山王公民館,97,,4月17日 21:00,,http://www.city.tagajo.miyagi.jp/saigai/hisaizyouhou.html#hinansyasuu,"38.300571,140.978531",measle_turquoise
宮城県,大崎市,古川旭４丁目５?２,古川武道館,86,,4月17日 15:00,,大崎町ホームページより。,"38.564186,140.975281",measle_turquoise
宮城県,大崎市,田尻通木字中崎東１０−１,かごぼうの里,2,,4月17日 15:00,,大崎市ホームページより,"38.601562,141.029422",measle_turquoise
宮城県,女川町,,女川第一中学校,,,3月22日 1:06,,,,measle_yellow
宮城県,女川町,986-2243女川浜字大原四八○,女川町第一保育所,,,3月19日 23:32,,,,measle_yellow
宮城県,女川町,塚浜字小屋取,民家,20,,3月18日 3:22,0225-53-3096　　孤立しているため物資や燃料が配給されてない。女川原発のすぐ横の小さな集落です。,,,measle_turquoise
宮城県,女川町,宮城県牡鹿郡女川町浦宿浜字十二神60?3,女川高校,100,,3月21日 11:57,,,,measle_turquoise
宮城県,女川町,鷲神浜字堀切山51番地の6,女川町立病院,,,3月21日 3:39,0225-53-5511,,,measle_yellow
宮城県,宮城郡七ヶ浜町,吉田浜,吉田浜地区公民分館（コミュニティセンター）,48,,4月7日 22:51,,七ヶ浜災害対策本部へ電話で確認,"38.306252,141.062196",measle_turquoise
宮城県,宮城郡七ヶ浜町,吉田浜字野山5-9,生涯学習センター 中央公民館,320,,4月7日 22:54,,七ヶ浜災害対策本部へ電話で確認,"38.299470,141.062383",measle_blue
宮城県,宮城郡七ヶ浜町,花渕浜字大山１−１,七ヶ浜国際村,247,,4月7日 22:52,ＴＥＬ223575931,七ヶ浜災害対策本部へ電話で確認,"38.298453,141.067861",measle_blue
宮城県,宮城郡利府町,青山１丁目５７−２,勤労青少年ホーム,8,,4月11日 16:00,,利府町ホームページより,"38.335822,140.967775",measle_turquoise
宮城県,宮城郡松島町,幡谷字鹿渡２４−１１,品井沼農村環境改善センター,104,,4月11日 17:00,,松島町ホームページより,"38.431964,141.082526",measle_turquoise
宮城県,宮城郡松島町,手樽字釜地前1,手樽地域交流センター（旧第三小学校）,44,,4月11日 17:00,,松島町ホームページより,"38.390159,141.100798",measle_turquoise
宮城県,宮城郡松島町,高城字動伝一３４−１,温水プール美遊,85,,4月11日 17:00,,松島町ホームページより,"38.395072,141.072010",measle_turquoise
宮城県,岩沼市,北長谷字樋下２２４−１,農村環境改善センター,74,,4月14日 18:00,,岩沼市ホームページより,,measle_turquoise
宮城県,岩沼市,里の杜１丁目１−１,総合体育館,151,,4月14日 18:00,,岩沼市ホームページより,"38.105928,140.876790",measle_turquoise
宮城県,岩沼市,里の杜１丁目２−４５,市民会館,320,,4月14日 18:00,,岩沼市ホームページより,"38.107648,140.877315",measle_blue
宮城県,本吉群南三陸町,志津川,民家6軒,2030,,3月23日 1:36,,,,measle_blue
宮城県,本吉郡南三陸町,,ハイム　メアーズ,240,,3月20日 13:00,,宮城県 市町村別避難所・避難者リストによる。http://www.pref.miyagi.jp/hinanjo.htm,"38.678753,141.471237",measle_blue
宮城県,本吉郡南三陸町,,入谷公民館,100,,3月20日 13:00,0226-46-5103,宮城県 市町村別避難所・避難者リストによる。http://www.pref.miyagi.jp/hinanjo.htm,"38.702896,141.411774",measle_turquoise
宮城県,本吉郡南三陸町,,名足保育園,280,,3月20日 13:00,,宮城県 市町村別避難所・避難者リストによる。http://www.pref.miyagi.jp/hinanjo.htm,"38.723633,141.550751",measle_blue
宮城県,本吉郡南三陸町,,大上坊センター,30,,3月20日 13:00,,宮城県 市町村別避難所・避難者リストによる。http://www.pref.miyagi.jp/hinanjo.htm,,measle_turquoise
宮城県,本吉郡南三陸町,,志津川中学校,420,,3月20日 13:00,,宮城県 市町村別避難所・避難者リストによる。http://www.pref.miyagi.jp/hinanjo.htm,"38.686855,141.444061",measle_blue
宮城県,本吉郡南三陸町,,志津川高校,443,,3月20日 13:00,,宮城県 市町村別避難所・避難者リストによる。http://www.pref.miyagi.jp/hinanjo.htm,"38.680569,141.438736",measle_blue
宮城県,本吉郡南三陸町,,柳津小学校,70,,3月20日 13:00,町外の方？,宮城県 市町村別避難所・避難者リストによる。http://www.pref.miyagi.jp/hinanjo.htm,,measle_turquoise
宮城県,本吉郡南三陸町,,横山小学校,240,,3月20日 13:00,町外の方？,宮城県 市町村別避難所・避難者リストによる。http://www.pref.miyagi.jp/hinanjo.htm,,measle_blue
宮城県,本吉郡南三陸町,,歌津中学校,500,,3月20日 13:00,,宮城県 市町村別避難所・避難者リストによる。http://www.pref.miyagi.jp/hinanjo.htm,"38.719597,141.521759",measle_blue
宮城県,本吉郡南三陸町,,津の宮生活センター,40,,3月20日 13:00,,宮城県 市町村別避難所・避難者リストによる。http://www.pref.miyagi.jp/hinanjo.htm,"38.638729,141.485931",measle_turquoise
宮城県,本吉郡南三陸町,,登米中学校,480,,3月20日 13:00,町外の方？,宮城県 市町村別避難所・避難者リストによる。http://www.pref.miyagi.jp/hinanjo.htm,,measle_blue
宮城県,本吉郡南三陸町,,石泉活性化センター,80,,3月20日 13:00,,宮城県 市町村別避難所・避難者リストによる。http://www.pref.miyagi.jp/hinanjo.htm,,measle_turquoise
宮城県,本吉郡南三陸町,,荒町生活センター,70,,3月20日 13:00,,宮城県 市町村別避難所・避難者リスト,"38.645081,141.412811",measle_turquoise
宮城県,本吉郡南三陸町,,青年の家,213,,3月20日 13:00,,宮城県 市町村別避難所・避難者リストによる。http://www.pref.miyagi.jp/hinanjo.htm,"38.641636,141.477066",measle_blue
宮城県,本吉郡南三陸町,,韮の浜荘,20,,3月20日 13:00,,宮城県 市町村別避難所・避難者リストによる。http://www.pref.miyagi.jp/hinanjo.htm,,measle_turquoise
宮城県,本吉郡南三陸町,,高野鉄工,30,,3月20日 13:00,,宮城県 市町村別避難所・避難者リストによる。http://www.pref.miyagi.jp/hinanjo.htm,,measle_turquoise
宮城県,本吉郡南三陸町,中野91,民家,30,,3月18日 16:17,子供発熱！物資が行き届いてません。,,,measle_turquoise
宮城県,本吉郡南三陸町,入谷,入谷1区〜10区,518,,3月20日 13:00,,宮城県 市町村別避難所・避難者リストによる。http://www.pref.miyagi.jp/hinanjo.htm,,measle_blue
宮城県,本吉郡南三陸町,入谷字童子下１９３?２,入谷小学校,350,,3月20日 13:00,,宮城県 市町村別避難所・避難者リストによる。http://www.pref.miyagi.jp/hinanjo.htm,,measle_blue
宮城県,本吉郡南三陸町,南三陸町歌津字館浜,民家数件,,,,近隣集落の住民が津波が届かなかった数軒に集まっている。ﾗｲﾌﾗｲﾝはもちろん、圏外なため、連絡手段無し。今は各家の食材で対応しているが、暖房も無く、お年寄り、赤ちゃんも居る。山から平成の森に通じる道は通行可能かどうか不明。,,,measle_yellow
宮城県,本吉郡南三陸町,大久保,民家など,40,,3月20日 13:00,,宮城県 市町村別避難所・避難者リストによる。http://www.pref.miyagi.jp/hinanjo.htm,"38.670189,141.439208",measle_turquoise
宮城県,本吉郡南三陸町,寄木,寄木,40,,3月20日 13:00,,宮城県 市町村別避難所・避難者リストによる。http://www.pref.miyagi.jp/hinanjo.htm,"38.708726,141.517594",measle_turquoise
宮城県,本吉郡南三陸町,寺浜,寺浜生活センター,100,,3月20日 13:00,,宮城県 市町村別避難所・避難者リストによる。http://www.pref.miyagi.jp/hinanjo.htm,"38.633972,141.522689",measle_turquoise
宮城県,本吉郡南三陸町,志津川,ベイサイドアリーナ,1500,,3月20日 13:00,,宮城県 市町村別避難所・避難者リストによる。http://www.pref.miyagi.jp/hinanjo.htm,"38.680912,141.461609",measle_blue
宮城県,本吉郡南三陸町,志津川15-73,旭ヶ岡コミュニティセンターなど,699,,3月20日 13:00,集落の集会場まで物資が届いていない。見落とされている可能性大。おにぎり１個１日家族で分け合っている模様。,宮城県 市町村別避難所・避難者リストによる。http://www.pref.miyagi.jp/hinanjo.htm,,measle_blue
宮城県,本吉郡南三陸町,志津川地区,マリンパル,27,,3月20日 13:00,,宮城県 市町村別避難所・避難者リストによる。http://www.pref.miyagi.jp/hinanjo.htm,,measle_turquoise
宮城県,本吉郡南三陸町,志津川地区,大雄寺,40,,3月20日 13:00,,宮城県 市町村別避難所・避難者リストによる。http://www.pref.miyagi.jp/hinanjo.htm,,measle_turquoise
宮城県,本吉郡南三陸町,志津川地区,林生活センター,212,,3月20日 13:00,,宮城県 市町村別避難所・避難者リストによる。http://www.pref.miyagi.jp/hinanjo.htm,,measle_blue
宮城県,本吉郡南三陸町,志津川地区,熊田,60,,3月20日 13:00,,宮城県 市町村別避難所・避難者リストによる。http://www.pref.miyagi.jp/hinanjo.htm,,measle_turquoise
宮城県,本吉郡南三陸町,志津川字城場４１,志津川小学校,100,,3月31日 11:47,,宮城県 市町村別避難所・避難者リスト,"38.682995,141.448486",measle_turquoise
